hotel_id,cityId,hotelName,cityName,region,star_rating,address
CMU001,CMU,Cà Mau Hotel 1,Cà Mau,Đồng bằng sông Cửu Long,3,"15 Phan Ngọc Hiển, TP. Cà Mau"
CMU002,CMU,Cà Mau Hotel 2,Cà Mau,Đồng bằng sông Cửu Long,4,"30 Nguyễn Tất Thành, TP. Cà Mau"
CTO001,CTO,Cần Thơ Hotel 1,Cần Thơ,Đồng bằng sông Cửu Long,5,"02 Hòa Bình, Q. Ninh Kiều, TP. Cần Thơ"
CTO002,CTO,Cần Thơ Hotel 2,Cần Thơ,Đồng bằng sông Cửu Long,4,"12 Nguyễn Văn Linh, Q. Ninh Kiều"
CBG001,CBG,Cao Bằng Hotel 1,Cao Bằng,Trung du và miền núi phía Bắc,3,"18 Kim Đồng, TP. Cao Bằng"
CBG002,CBG,Cao Bằng Hotel 2,Cao Bằng,Trung du và miền núi phía Bắc,2,"25 Hoàng Liên, TP. Cao Bằng"
DNG001,DNG,Đà Nẵng Hotel 1,Đà Nẵng,Duyên hải Nam Trung Bộ,5,"200 Võ Nguyên Giáp, P. Mỹ An, Q. Ngũ Hành Sơn"
DNG002,DNG,Đà Nẵng Hotel 2,Đà Nẵng,Duyên hải Nam Trung Bộ,4,"105 Nguyễn Văn Linh, Q. Hải Châu"
DNG003,DNG,Đà Nẵng Hotel 3,Đà Nẵng,Duyên hải Nam Trung Bộ,3,"50 Trần Phú, Q. Hải Châu"
DLK001,DLK,Đắk Lắk Hotel 1,Đắk Lắk,Tây Nguyên,4,"15 Nguyễn Chí Thanh, TP. Buôn Ma Thuột"
DLK002,DLK,Đắk Lắk Hotel 2,Đắk Lắk,Tây Nguyên,3,"22 Y Jút, TP. Buôn Ma Thuột"
DNO001,DNO,Đắk Nông Hotel 1,Đắk Nông,Tây Nguyên,3,"10 Lê Duẩn, TX. Gia Nghĩa"
DNO002,DNO,Đắk Nông Hotel 2,Đắk Nông,Tây Nguyên,2,"15 Nguyễn Tất Thành, TX. Gia Nghĩa"
DBI001,DBI,Điện Biên Hotel 1,Điện Biên,Trung du và miền núi phía Bắc,3,"12 Võ Nguyên Giáp, TP. Điện Biên Phủ"
DBI002,DBI,Điện Biên Hotel 2,Điện Biên,Trung du và miền núi phía Bắc,2,"20 Hoàng Văn Thụ, TP. Điện Biên Phủ"
DNA001,DNA,Đồng Nai Hotel 1,Đồng Nai,Đông Nam Bộ,4,"10 Nguyễn Ái Quốc, TP. Biên Hòa"
DNA002,DNA,Đồng Nai Hotel 2,Đồng Nai,Đông Nam Bộ,3,"15 Phạm Văn Thuận, TP. Biên Hòa"
DTP001,DTP,Đồng Tháp Hotel 1,Đồng Tháp,Đồng bằng sông Cửu Long,3,"18 Lê Lợi, TP. Cao Lãnh"
DTP002,DTP,Đồng Tháp Hotel 2,Đồng Tháp,Đồng bằng sông Cửu Long,4,"25 Nguyễn Thái Học, TP. Cao Lãnh"
GLI001,GLI,Gia Lai Hotel 1,Gia Lai,Tây Nguyên,4,"12 Nguyễn Tất Thành, TP. Pleiku"
GLI002,GLI,Gia Lai Hotel 2,Gia Lai,Tây Nguyên,3,"18 Lê Lợi, TP. Pleiku"
HGG001,HGG,Hà Giang Hotel 1,Hà Giang,Trung du và miền núi phía Bắc,3,"15 Nguyễn Trãi, TP. Hà Giang"
HGG002,HGG,Hà Giang Hotel 2,Hà Giang,Trung du và miền núi phía Bắc,2,"20 Trần Phú, TP. Hà Giang"
HNA001,HNA,Hà Nam Hotel 1,Hà Nam,Đồng bằng sông Hồng,3,"10 Lê Lợi, TP. Phủ Lý"
HNA002,HNA,Hà Nam Hotel 2,Hà Nam,Đồng bằng sông Hồng,2,"15 Nguyễn Văn Trỗi, TP. Phủ Lý"
HNO001,HNO,Hà Nội Hotel 1,Hà Nội,Đồng bằng sông Hồng,5,"1 Phạm Hùng, Q. Nam Từ Liêm"
HNO002,HNO,Hà Nội Hotel 2,Hà Nội,Đồng bằng sông Hồng,4,"8 Lê Thánh Tông, Q. Hoàn Kiếm"
HNO003,HNO,Hà Nội Hotel 3,Hà Nội,Đồng bằng sông Hồng,3,"25 Hàng Bè, Q. Hoàn Kiếm"
HNO004,HNO,Hà Nội Hotel 4,Hà Nội,Đồng bằng sông Hồng,5,"33 Phạm Ngũ Lão, Q. Hoàn Kiếm"
HNO005,HNO,Hà Nội Hotel 5,Hà Nội,Đồng bằng sông Hồng,4,"45 Lý Thường Kiệt, Q. Hoàn Kiếm"
HTH001,HTH,Hà Tĩnh Hotel 1,Hà Tĩnh,Bắc Trung Bộ,3,"12 Nguyễn Du, TP. Hà Tĩnh"
HTH002,HTH,Hà Tĩnh Hotel 2,Hà Tĩnh,Bắc Trung Bộ,4,"15 Trần Phú, TP. Hà Tĩnh"
HDG001,HDG,Hải Dương Hotel 1,Hải Dương,Đồng bằng sông Hồng,3,"10 Nguyễn Lương Bằng, TP. Hải Dương"
HDG002,HDG,Hải Dương Hotel 2,Hải Dương,Đồng bằng sông Hồng,4,"15 Thanh Niên, TP. Hải Dương"
HPG001,HPG,Hải Phòng Hotel 1,Hải Phòng,Đồng bằng sông Hồng,4,"12 Lạch Tray, Q. Ngô Quyền"
HPG002,HPG,Hải Phòng Hotel 2,Hải Phòng,Đồng bằng sông Hồng,5,"1 Điện Biên Phủ, Q. Hồng Bàng"
HUG001,HUG,Hậu Giang Hotel 1,Hậu Giang,Đồng bằng sông Cửu Long,3,"15 Nguyễn Trãi, TP. Vị Thanh"
HUG002,HUG,Hậu Giang Hotel 2,Hậu Giang,Đồng bằng sông Cửu Long,2,"20 Lê Lợi, TP. Vị Thanh"
HBI001,HBI,Hòa Bình Hotel 1,Hòa Bình,Trung du và miền núi phía Bắc,3,"10 Điện Biên Phủ, TP. Hòa Bình"
HBI002,HBI,Hòa Bình Hotel 2,Hòa Bình,Trung du và miền núi phía Bắc,4,"15 Trần Hưng Đạo, TP. Hòa Bình"
HYN001,HYN,Hưng Yên Hotel 1,Hưng Yên,Đồng bằng sông Hồng,3,"12 Bãi Sậy, TP. Hưng Yên"
HYN002,HYN,Hưng Yên Hotel 2,Hưng Yên,Đồng bằng sông Hồng,2,"18 Lê Lợi, TP. Hưng Yên"
KHA001,KHA,Khánh Hòa Hotel 1,Khánh Hòa,Duyên hải Nam Trung Bộ,5,"32 Trần Phú, TP. Nha Trang"
KHA002,KHA,Khánh Hòa Hotel 2,Khánh Hòa,Duyên hải Nam Trung Bộ,4,"14 Tháp Bà, TP. Nha Trang"
KGI001,KGI,Kiên Giang Hotel 1,Kiên Giang,Đồng bằng sông Cửu Long,4,"12 Nguyễn Trung Trực, TP. Rạch Giá"
KGI002,KGI,Kiên Giang Hotel 2,Kiên Giang,Đồng bằng sông Cửu Long,3,"18 Lạc Hồng, TP. Rạch Giá"
KTM001,KTM,Kon Tum Hotel 1,Kon Tum,Tây Nguyên,3,"10 Nguyễn Huệ, TP. Kon Tum"
KTM002,KTM,Kon Tum Hotel 2,Kon Tum,Tây Nguyên,2,"15 Trần Hưng Đạo, TP. Kon Tum"
LCI001,LCI,Lai Châu Hotel 1,Lai Châu,Trung du và miền núi phía Bắc,3,"12 Trần Phú, TP. Lai Châu"
LCI002,LCI,Lai Châu Hotel 2,Lai Châu,Trung du và miền núi phía Bắc,2,"18 Lê Lợi, TP. Lai Châu"
LCH001,LCH,Lạng Sơn Hotel 1,Lạng Sơn,Trung du và miền núi phía Bắc,3,"10 Trần Đăng Ninh, TP. Lạng Sơn"
LCH002,LCH,Lạng Sơn Hotel 2,Lạng Sơn,Trung du và miền núi phía Bắc,4,"15 Lê Lợi, TP. Lạng Sơn"
LDO001,LDO,Lâm Đồng Hotel 1,Lâm Đồng,Tây Nguyên,5,"12 Trần Phú, TP. Đà Lạt"
LDO002,LDO,Lâm Đồng Hotel 2,Lâm Đồng,Tây Nguyên,4,"20 Hùng Vương, TP. Đà Lạt"
LCA001,LCA,Lào Cai Hotel 1,Lào Cai,Trung du và miền núi phía Bắc,4,"10 Xuân Viên, TP. Lào Cai"
LCA002,LCA,Lào Cai Hotel 2,Lào Cai,Trung du và miền núi phía Bắc,3,"15 Hoàng Liên, TP. Lào Cai"
LAG001,LAG,Long An Hotel 1,Long An,Đồng bằng sông Cửu Long,3,"12 Nguyễn Thông, TP. Tân An"
LAG002,LAG,Long An Hotel 2,Long An,Đồng bằng sông Cửu Long,4,"18 Hùng Vương, TP. Tân An"
NDH001,NDH,Nam Định Hotel 1,Nam Định,Đồng bằng sông Hồng,3,"10 Lê Hồng Phong, TP. Nam Định"
NDH002,NDH,Nam Định Hotel 2,Nam Định,Đồng bằng sông Hồng,4,"15 Trần Hưng Đạo, TP. Nam Định"
NBH001,NBH,Ninh Bình Hotel 1,Ninh Bình,Đồng bằng sông Hồng,4,"12 Lê Đại Hành, TP. Ninh Bình"
NBH002,NBH,Ninh Bình Hotel 2,Ninh Bình,Đồng bằng sông Hồng,3,"18 Trần Hưng Đạo, TP. Ninh Bình"
NTN001,NTN,Ninh Thuận Hotel 1,Ninh Thuận,Duyên hải Nam Trung Bộ,3,"128 Thống Nhất, TP. Phan Rang - Tháp Chàm"
NTN002,NTN,Ninh Thuận Hotel 2,Ninh Thuận,Duyên hải Nam Trung Bộ,4,"15 Nguyễn Trãi, TP. Phan Rang - Tháp Chàm"
PTU001,PTU,Phú Thọ Hotel 1,Phú Thọ,Trung du và miền núi phía Bắc,3,"10 Hùng Vương, TP. Việt Trì"
PTU002,PTU,Phú Thọ Hotel 2,Phú Thọ,Trung du và miền núi phía Bắc,4,"15 Trần Phú, TP. Việt Trì"
PYN001,PYN,Phú Yên Hotel 1,Phú Yên,Duyên hải Nam Trung Bộ,3,"12 Lê Lợi, TP. Tuy Hòa"
PYN002,PYN,Phú Yên Hotel 2,Phú Yên,Duyên hải Nam Trung Bộ,4,"18 Nguyễn Huệ, TP. Tuy Hòa"
QBI001,QBI,Quảng Bình Hotel 1,Quảng Bình,Bắc Trung Bộ,3,"10 Lê Lợi, TP. Đồng Hới"
QBI002,QBI,Quảng Bình Hotel 2,Quảng Bình,Bắc Trung Bộ,4,"15 Nguyễn Du, TP. Đồng Hới"
QNA001,QNA,Quảng Nam Hotel 1,Quảng Nam,Duyên hải Nam Trung Bộ,4,"12 Trần Phú, TP. Hội An"
QNA002,QNA,Quảng Nam Hotel 2,Quảng Nam,Duyên hải Nam Trung Bộ,5,"18 Cửa Đại, TP. Hội An"
QNG001,QNG,Quảng Ngãi Hotel 1,Quảng Ngãi,Duyên hải Nam Trung Bộ,3,"10 Nguyễn Nghiêm, TP. Quảng Ngãi"
QNG002,QNG,Quảng Ngãi Hotel 2,Quảng Ngãi,Duyên hải Nam Trung Bộ,4,"15 Lê Trung Đình, TP. Quảng Ngãi"
QNI001,QNI,Quảng Ninh Hotel 1,Quảng Ninh,Đồng bằng sông Hồng,5,"10 Hạ Long, P. Bãi Cháy, TP. Hạ Long"
QNI002,QNI,Quảng Ninh Hotel 2,Quảng Ninh,Đồng bằng sông Hồng,4,"18 Lê Thánh Tông, TP. Hạ Long"
QTR001,QTR,Quảng Trị Hotel 1,Quảng Trị,Bắc Trung Bộ,3,"12 Duy Tân, TP. Đông Hà"
QTR002,QTR,Quảng Trị Hotel 2,Quảng Trị,Bắc Trung Bộ,2,"18 Lê Lợi, TP. Đông Hà"
STG001,STG,Sóc Trăng Hotel 1,Sóc Trăng,Đồng bằng sông Cửu Long,3,"10 Lê Hồng Phong, TP. Sóc Trăng"
STG002,STG,Sóc Trăng Hotel 2,Sóc Trăng,Đồng bằng sông Cửu Long,4,"15 Trần Hưng Đạo, TP. Sóc Trăng"
SLA001,SLA,Sơn La Hotel 1,Sơn La,Trung du và miền núi phía Bắc,3,"12 Chu Văn Thịnh, TP. Sơn La"
SLA002,SLA,Sơn La Hotel 2,Sơn La,Trung du và miền núi phía Bắc,4,"18 Tô Hiệu, TP. Sơn La"
TBG001,TBG,Tuyên Quang Hotel 1,Tuyên Quang,Trung du và miền núi phía Bắc,3,"10 Đội Cấn, TP. Tuyên Quang"
TBG002,TBG,Tuyên Quang Hotel 2,Tuyên Quang,Trung du và miền núi phía Bắc,2,"15 Lê Lợi, TP. Tuyên Quang"
TNI001,TNI,Tây Ninh Hotel 1,Tây Ninh,Đông Nam Bộ,3,"10 30/4, TP. Tây Ninh"
TNI002,TNI,Tây Ninh Hotel 2,Tây Ninh,Đông Nam Bộ,4,"15 Cách Mạng Tháng 8, TP. Tây Ninh"
TNH001,TNH,Thái Nguyên Hotel 1,Thái Nguyên,Trung du và miền núi phía Bắc,4,"10 Hoàng Văn Thụ, TP. Thái Nguyên"
TNH002,TNH,Thái Nguyên Hotel 2,Thái Nguyên,Trung du và miền núi phía Bắc,3,"15 Lương Ngọc Quyến, TP. Thái Nguyên"
TBI001,TBI,Thái Bình Hotel 1,Thái Bình,Đồng bằng sông Hồng,3,"10 Lý Bôn, TP. Thái Bình"
TBI002,TBI,Thái Bình Hotel 2,Thái Bình,Đồng bằng sông Hồng,4,"15 Trần Hưng Đạo, TP. Thái Bình"
THA001,THA,Thanh Hóa Hotel 1,Thanh Hóa,Bắc Trung Bộ,4,"10 Hạc Thành, TP. Thanh Hóa"
THA002,THA,Thanh Hóa Hotel 2,Thanh Hóa,Bắc Trung Bộ,5,"15 Lê Lai, TP. Thanh Hóa"
TTH001,TTH,Thừa Thiên Huế Hotel 1,Thừa Thiên Huế,Bắc Trung Bộ,4,"50 Lê Lợi, TP. Huế"
TTH002,TTH,Thừa Thiên Huế Hotel 2,Thừa Thiên Huế,Bắc Trung Bộ,5,"12 Hùng Vương, TP. Huế"
TVH001,TVH,Trà Vinh Hotel 1,Trà Vinh,Đồng bằng sông Cửu Long,3,"10 Lê Lợi, TP. Trà Vinh"
TVH002,TVH,Trà Vinh Hotel 2,Trà Vinh,Đồng bằng sông Cửu Long,4,"15 Phạm Ngũ Lão, TP. Trà Vinh"
VLO001,VLO,Vĩnh Long Hotel 1,Vĩnh Long,Đồng bằng sông Cửu Long,3,"10 Phạm Hùng, TP. Vĩnh Long"
VLO002,VLO,Vĩnh Long Hotel 2,Vĩnh Long,Đồng bằng sông Cửu Long,4,"15 Nguyễn Huệ, TP. Vĩnh Long"
VPC001,VPC,Vĩnh Phúc Hotel 1,Vĩnh Phúc,Đồng bằng sông Hồng,4,"10 Nguyễn Tất Thành, TP. Vĩnh Yên"
VPC002,VPC,Vĩnh Phúc Hotel 2,Vĩnh Phúc,Đồng bằng sông Hồng,3,"15 Lê Lợi, TP. Vĩnh Yên"
YBI001,YBI,Yên Bái Hotel 1,Yên Bái,Trung du và miền núi phía Bắc,3,"10 Điện Biên Phủ, TP. Yên Bái"
YBI002,YBI,Yên Bái Hotel 2,Yên Bái,Trung du và miền núi phía Bắc,4,"15 Nguyễn Thái Học, TP. Yên Bái"
