MaPhongDuocDat,MaDatPhong,MaPhong,NgayNhanPhong,NgayTraPhong,TongTienPhong
PDD000072,DP00057,BDH001_R022,2024-01-02,2024-01-07,8500000
PDD000073,DP00057,QNI001_R018,2024-01-02,2024-01-04,5600000
PDD000074,DP00058,HNO001_R023,2024-01-02,2024-01-04,4800000
PDD000075,DP00059,LCI002_R007,2024-01-02,2024-01-04,2400000
PDD000076,DP00060,HPG001_R003,2024-01-02,2024-01-06,4800000
PDD000077,DP00061,KHA001_R027,2024-01-02,2024-01-05,5100000
PDD000078,DP00061,HNO005_R005,2024-01-02,2024-01-03,1200000
PDD000079,DP00062,HNO001_R003,2024-01-02,2024-01-07,6000000
PDD000080,DP00063,HNA001_R006,2024-01-02,2024-01-07,9000000
PDD000081,DP00064,HGG002_R021,2024-01-02,2024-01-04,4400000
PDD000082,DP00065,TVH001_R016,2024-01-02,2024-01-04,3400000
PDD000083,DP00066,QBI002_R004,2024-01-02,2024-01-03,1800000
PDD000084,DP00067,TBG001_R025,2024-01-02,2024-01-06,4000000
PDD000085,DP00067,SLA001_R027,2024-01-02,2024-01-05,6600000
PDD000086,DP00068,AGG004_R006,2024-01-02,2024-01-06,4800000
PDD000087,DP00069,HUG001_R005,2024-01-02,2024-01-03,1200000
PDD000088,DP00070,DBI001_R009,2024-01-02,2024-01-04,3600000
PDD000089,DP00071,CTO001_R001,2024-01-02,2024-01-05,3600000
PDD000090,DP00071,NTN002_R027,2024-01-02,2024-01-03,3500000
PDD000091,DP00071,NTN002_R008,2024-01-02,2024-01-03,1200000
PDD000092,DP00072,QTR002_R012,2024-01-02,2024-01-03,1800000
PDD000093,DP00072,DNO001_R025,2024-01-02,2024-01-07,5000000
PDD000094,DP00073,CMU001_R010,2024-01-02,2024-01-05,5400000
PDD000095,DP00074,KTM001_R016,2024-01-02,2024-01-05,5100000
PDD000096,DP00075,BDH002_R009,2024-01-02,2024-01-06,7200000
PDD000097,DP00075,HDG001_R011,2024-01-02,2024-01-03,2000000
PDD000098,DP00076,PTU002_R030,2024-01-02,2024-01-05,6600000
PDD000099,DP00077,HGG001_R010,2024-01-02,2024-01-04,2400000
PDD000100,DP00077,DLK002_R015,2024-01-02,2024-01-06,7200000
PDD000101,DP00078,YBI001_R004,2024-01-02,2024-01-05,3600000
PDD000102,DP00079,BDG001_R035,2024-01-02,2024-01-03,2000000
PDD000103,DP00080,NBH002_R014,2024-01-02,2024-01-06,6000000
PDD000104,DP00080,DTP001_R017,2024-01-02,2024-01-03,1500000
PDD000105,DP00081,QNI001_R026,2024-01-02,2024-01-05,3900000
PDD000106,DP00081,QTR002_R039,2024-01-02,2024-01-05,5100000
PDD000107,DP00082,PYN002_R010,2024-01-02,2024-01-04,2400000
PDD000108,DP00082,LCH002_R006,2024-01-02,2024-01-07,6000000
PDD000109,DP00082,KGI002_R036,2024-01-02,2024-01-03,1300000
PDD000110,DP00083,DNA001_R007,2024-01-02,2024-01-05,4500000
PDD000111,DP00083,DLK002_R013,2024-01-02,2024-01-07,9000000
PDD000112,DP00084,LCH001_R006,2024-01-02,2024-01-06,4800000
PDD000113,DP00084,BGG002_R017,2024-01-02,2024-01-06,7200000
PDD000114,DP00085,HPG002_R040,2024-01-02,2024-01-07,5000000
PDD000115,DP00085,NBH002_R007,2024-01-02,2024-01-04,2400000
PDD000116,DP00086,BNH001_R002,2024-01-02,2024-01-07,6000000
PDD000117,DP00086,NTN002_R032,2024-01-02,2024-01-07,8500000
PDD000118,DP00087,HPG001_R018,2024-01-02,2024-01-04,3000000
PDD000119,DP00088,SLA002_R005,2024-01-02,2024-01-05,3600000
PDD000120,DP00089,AGG002_R023,2024-01-02,2024-01-05,8400000
PDD000121,DP00090,VLO001_R010,2024-01-02,2024-01-03,2400000
PDD000122,DP00091,BGG002_R002,2024-01-02,2024-01-05,3600000
PDD000123,DP00092,HNO005_R014,2024-01-02,2024-01-04,3000000
PDD000124,DP00093,QNA002_R005,2024-01-02,2024-01-06,7200000
PDD000125,DP00094,TNH002_R001,2024-01-02,2024-01-05,3600000
PDD000126,DP00095,AGG004_R009,2024-01-02,2024-01-07,6000000
PDD000127,DP00096,DBI001_R025,2024-01-03,2024-01-07,4000000
PDD000128,DP00096,HNO003_R010,2024-01-03,2024-01-08,6000000
PDD000129,DP00097,HTH002_R004,2024-01-03,2024-01-05,3600000
PDD000130,DP00098,HNO001_R017,2024-01-03,2024-01-06,5400000
PDD000131,DP00099,BGG003_R035,2024-01-03,2024-01-05,2000000
PDD000132,DP00100,DBI002_R021,2024-01-03,2024-01-05,4400000
PDD000133,DP00100,HUG001_R010,2024-01-03,2024-01-06,5400000
PDD000134,DP00101,HNO003_R029,2024-01-03,2024-01-04,2200000
PDD000135,DP00101,QNG001_R021,2024-01-03,2024-01-05,3000000
PDD000136,DP00102,DBI002_R004,2024-01-03,2024-01-05,2400000
PDD000137,DP00102,HBI002_R004,2024-01-03,2024-01-04,1200000
PDD000138,DP00103,QBI001_R039,2024-01-03,2024-01-04,1700000
PDD000139,DP00103,BNH002_R009,2024-01-03,2024-01-08,6000000
PDD000140,DP00104,HDG001_R011,2024-01-03,2024-01-04,2000000
PDD000141,DP00105,LCA001_R013,2024-01-03,2024-01-07,9600000
PDD000142,DP00106,BRV001_R008,2024-01-03,2024-01-07,4800000
PDD000143,DP00107,QBI001_R035,2024-01-03,2024-01-06,6000000
PDD000144,DP00108,BDG001_R023,2024-01-03,2024-01-05,3000000
PDD000145,DP00108,LCA001_R004,2024-01-03,2024-01-06,3600000
PDD000146,DP00109,DBI001_R006,2024-01-03,2024-01-06,3600000
PDD000147,DP00109,HTH001_R013,2024-01-03,2024-01-08,9000000
PDD000148,DP00110,QTR001_R018,2024-01-03,2024-01-04,1800000
PDD000149,DP00111,QBI001_R041,2024-01-03,2024-01-07,5200000
PDD000150,DP00112,SLA002_R023,2024-01-03,2024-01-06,5100000
PDD000151,DP00112,PYN002_R022,2024-01-03,2024-01-05,3000000
PDD000152,DP00113,DBI002_R024,2024-01-03,2024-01-04,1700000
PDD000153,DP00114,AGG004_R021,2024-01-03,2024-01-08,12000000
PDD000154,DP00114,TNH001_R013,2024-01-03,2024-01-04,1800000
PDD000155,DP00115,BLU001_R006,2024-01-03,2024-01-07,7200000
PDD000156,DP00116,BTE001_R003,2024-01-03,2024-01-07,4800000
PDD000157,DP00117,QTR002_R021,2024-01-03,2024-01-08,7500000
PDD000158,DP00118,LDO002_R017,2024-01-03,2024-01-04,2800000
PDD000159,DP00119,CMU002_R024,2024-01-03,2024-01-08,17500000
PDD000160,DP00119,NTN002_R030,2024-01-03,2024-01-06,6000000
PDD000161,DP00120,LAG002_R019,2024-01-03,2024-01-05,4400000
PDD000162,DP00120,PYN002_R026,2024-01-03,2024-01-08,14000000
PDD000163,DP00121,BTE002_R013,2024-01-03,2024-01-08,17500000
PDD000164,DP00121,HDG001_R002,2024-01-03,2024-01-08,6000000
PDD000165,DP00122,QNI001_R009,2024-01-03,2024-01-05,3600000
PDD000166,DP00122,LCH001_R022,2024-01-03,2024-01-04,1700000
PDD000167,DP00123,AGG002_R034,2024-01-03,2024-01-08,6500000
PDD000168,DP00123,YBI002_R023,2024-01-03,2024-01-08,12000000
PDD000169,DP00124,DNG002_R003,2024-01-03,2024-01-08,6000000
PDD000170,DP00124,BTE002_R004,2024-01-03,2024-01-06,3600000
PDD000171,DP00125,AGG002_R033,2024-01-03,2024-01-08,5000000
PDD000172,DP00126,DTP001_R023,2024-01-03,2024-01-07,11200000
PDD000173,DP00127,VPC002_R005,2024-01-03,2024-01-08,6000000
PDD000174,DP00128,DNG003_R014,2024-01-03,2024-01-06,8400000
PDD000175,DP00129,NTN002_R008,2024-01-03,2024-01-07,4800000
PDD000176,DP00130,HNO003_R026,2024-01-03,2024-01-06,8400000
PDD000177,DP00131,PYN002_R036,2024-01-03,2024-01-05,3400000
PDD000178,DP00131,PYN002_R023,2024-01-03,2024-01-04,2400000
PDD000179,DP00132,AGG004_R010,2024-01-03,2024-01-04,1800000
PDD000180,DP00133,VPC001_R002,2024-01-03,2024-01-05,2400000
PDD000181,DP00134,DNA002_R033,2024-01-03,2024-01-06,5100000
PDD000182,DP00135,HPG001_R035,2024-01-03,2024-01-04,1000000
PDD000183,DP00135,HNO003_R033,2024-01-03,2024-01-07,8000000
PDD000184,DP00135,HGG002_R027,2024-01-03,2024-01-07,5200000
PDD000185,DP00136,AGG004_R007,2024-01-03,2024-01-06,3600000
PDD000186,DP00136,LDO001_R009,2024-01-03,2024-01-08,7500000
PDD000187,DP00137,BTN001_R010,2024-01-03,2024-01-05,3000000
PDD000188,DP00137,HYN002_R013,2024-01-03,2024-01-06,5100000
PDD000189,DP00138,AGG005_R012,2024-01-03,2024-01-05,7000000
PDD000190,DP00138,NTN002_R014,2024-01-03,2024-01-08,9000000
PDD000191,DP00139,NDH001_R024,2024-01-03,2024-01-04,1700000
PDD000192,DP00139,HNO003_R015,2024-01-03,2024-01-06,5400000
PDD000193,DP00140,NTN002_R020,2024-01-03,2024-01-05,3000000
PDD000194,DP00141,BDH002_R001,2024-01-03,2024-01-07,4800000
PDD000195,DP00142,TBI002_R018,2024-01-04,2024-01-06,3400000
PDD000196,DP00143,QNI001_R013,2024-01-04,2024-01-07,5400000
PDD000197,DP00143,KHA001_R021,2024-01-04,2024-01-08,11200000
PDD000198,DP00144,AGG005_R006,2024-01-04,2024-01-09,9000000
PDD000199,DP00145,DNA002_R021,2024-01-04,2024-01-08,6000000
PDD000200,DP00145,TBI001_R001,2024-01-04,2024-01-09,6000000
PDD000201,DP00146,HBI001_R008,2024-01-04,2024-01-06,3600000
PDD000202,DP00147,PTU002_R026,2024-01-04,2024-01-08,11200000
PDD000203,DP00147,KTM001_R004,2024-01-04,2024-01-09,6000000
PDD000204,DP00148,HBI002_R024,2024-01-04,2024-01-05,1700000
PDD000205,DP00149,QNA001_R004,2024-01-04,2024-01-09,6000000
PDD000206,DP00150,HNO001_R034,2024-01-04,2024-01-05,1700000
PDD000207,DP00150,QNI001_R005,2024-01-04,2024-01-09,6000000
PDD000208,DP00151,LCA002_R012,2024-01-04,2024-01-07,5100000
PDD000209,DP00152,QNA001_R008,2024-01-04,2024-01-06,3600000
PDD000210,DP00153,QTR001_R023,2024-01-04,2024-01-09,7500000
PDD000211,DP00154,GLI001_R032,2024-01-04,2024-01-09,8500000
PDD000212,DP00154,BDH002_R012,2024-01-04,2024-01-05,1800000
PDD000213,DP00155,TNH001_R017,2024-01-04,2024-01-09,7500000
PDD000214,DP00156,GLI001_R004,2024-01-04,2024-01-06,2400000
PDD000215,DP00157,LAG002_R012,2024-01-04,2024-01-08,7200000
PDD000216,DP00157,KGI002_R003,2024-01-04,2024-01-05,1200000
PDD000217,DP00158,BRV004_R015,2024-01-04,2024-01-05,1800000
PDD000218,DP00158,BDG002_R005,2024-01-04,2024-01-06,3600000
PDD000219,DP00159,LAG001_R001,2024-01-04,2024-01-05,1200000
PDD000220,DP00160,TVH001_R014,2024-01-04,2024-01-07,6600000
PDD000221,DP00161,HPG002_R031,2024-01-04,2024-01-07,6600000
PDD000222,DP00162,HPG002_R039,2024-01-04,2024-01-08,6800000
PDD000223,DP00163,PTU002_R027,2024-01-04,2024-01-09,17500000
PDD000224,DP00164,SLA002_R009,2024-01-04,2024-01-06,3600000
PDD000225,DP00164,LCA001_R003,2024-01-04,2024-01-07,3600000
PDD000226,DP00165,KTM001_R014,2024-01-04,2024-01-07,6600000
PDD000227,DP00165,QNI001_R010,2024-01-04,2024-01-05,1800000
PDD000228,DP00166,CMU001_R025,2024-01-04,2024-01-05,3500000
PDD000229,DP00166,CBG001_R005,2024-01-04,2024-01-05,1200000
PDD000230,DP00167,LDO002_R009,2024-01-04,2024-01-08,7200000
PDD000231,DP00168,LCI001_R039,2024-01-04,2024-01-05,1700000
PDD000232,DP00168,AGG005_R009,2024-01-04,2024-01-05,1500000
PDD000233,DP00169,BGG001_R034,2024-01-04,2024-01-07,5100000
PDD000234,DP00170,DNG002_R012,2024-01-04,2024-01-06,3600000
PDD000235,DP00171,QBI002_R005,2024-01-04,2024-01-06,3600000
PDD000236,DP00172,HNO001_R027,2024-01-04,2024-01-06,7000000
PDD000237,DP00172,QNA001_R010,2024-01-04,2024-01-09,9000000
PDD000238,DP00173,CBG002_R023,2024-01-04,2024-01-09,8500000
PDD000239,DP00174,BLU002_R002,2024-01-04,2024-01-06,2400000
PDD000240,DP00174,THA002_R003,2024-01-04,2024-01-06,2400000
PDD000241,DP00175,LAG002_R016,2024-01-04,2024-01-08,9600000
PDD000242,DP00176,DNA002_R011,2024-01-04,2024-01-06,3600000
PDD000243,DP00176,DBI001_R019,2024-01-04,2024-01-05,3500000
PDD000244,DP00176,BNH002_R005,2024-01-04,2024-01-06,2400000
PDD000245,DP00177,DBI002_R015,2024-01-04,2024-01-05,1500000
PDD000246,DP00178,BRV001_R026,2024-01-04,2024-01-07,10500000
PDD000247,DP00178,DTP001_R013,2024-01-04,2024-01-07,5400000
PDD000248,DP00179,BRV004_R013,2024-01-04,2024-01-09,9000000
PDD000249,DP00179,HGG001_R026,2024-01-04,2024-01-05,3500000
PDD000250,DP00180,DNO001_R023,2024-01-04,2024-01-08,6800000
PDD000251,DP00180,NBH002_R003,2024-01-04,2024-01-05,1200000
PDD000252,DP00181,TBI001_R010,2024-01-04,2024-01-07,4500000
PDD000253,DP00182,VPC001_R017,2024-01-04,2024-01-09,7500000
PDD000254,DP00183,SLA001_R002,2024-01-04,2024-01-05,1200000
PDD000255,DP00184,YBI002_R001,2024-01-04,2024-01-06,2400000
PDD000256,DP00185,TVH002_R011,2024-01-04,2024-01-05,1800000
PDD000257,DP00186,HYN001_R023,2024-01-04,2024-01-09,8500000
PDD000258,DP00186,LAG001_R004,2024-01-04,2024-01-07,3600000
PDD000259,DP00187,GLI001_R018,2024-01-05,2024-01-06,1500000
PDD000260,DP00188,AGG003_R004,2024-01-05,2024-01-10,6000000
PDD000261,DP00188,HUG001_R012,2024-01-05,2024-01-08,5400000
PDD000262,DP00189,BNH002_R003,2024-01-05,2024-01-07,2400000
PDD000263,DP00189,NTN001_R025,2024-01-05,2024-01-06,1000000
PDD000264,DP00190,GLI001_R033,2024-01-05,2024-01-07,3400000
PDD000265,DP00191,BDG001_R010,2024-01-05,2024-01-07,2400000
PDD000266,DP00192,NTN001_R018,2024-01-05,2024-01-08,8400000
PDD000267,DP00193,HGG002_R019,2024-01-05,2024-01-09,11200000
PDD000268,DP00193,GLI001_R020,2024-01-05,2024-01-08,4500000
PDD000269,DP00193,CBG002_R014,2024-01-05,2024-01-09,6000000
PDD000270,DP00194,BLU001_R014,2024-01-05,2024-01-06,2200000
PDD000271,DP00195,HTH001_R023,2024-01-05,2024-01-09,11200000
PDD000272,DP00196,BGG003_R008,2024-01-05,2024-01-09,4800000
PDD000273,DP00197,BDG001_R008,2024-01-05,2024-01-10,6000000
PDD000274,DP00198,DBI001_R024,2024-01-05,2024-01-07,3400000
PDD000275,DP00199,HNA002_R015,2024-01-05,2024-01-07,3400000
PDD000276,DP00200,LCH001_R008,2024-01-05,2024-01-06,1800000
PDD000277,DP00201,HPG002_R005,2024-01-05,2024-01-10,6000000
PDD000278,DP00202,DBI001_R004,2024-01-05,2024-01-10,6000000
PDD000279,DP00203,BGG001_R029,2024-01-05,2024-01-09,8800000
PDD000280,DP00204,KHA002_R002,2024-01-05,2024-01-09,4800000
PDD000281,DP00205,STG001_R004,2024-01-05,2024-01-06,1200000
PDD000282,DP00206,BGG001_R023,2024-01-05,2024-01-07,4800000
PDD000283,DP00207,CTO001_R026,2024-01-05,2024-01-08,3000000
PDD000284,DP00207,YBI002_R032,2024-01-05,2024-01-10,8500000
PDD000285,DP00208,HNO003_R022,2024-01-05,2024-01-08,4500000
PDD000286,DP00209,HNO001_R015,2024-01-05,2024-01-07,3600000
PDD000287,DP00210,QTR001_R021,2024-01-05,2024-01-07,3000000
PDD000288,DP00211,CMU002_R029,2024-01-05,2024-01-10,10000000
PDD000289,DP00212,HNO005_R006,2024-01-05,2024-01-07,2400000
PDD000290,DP00213,BDH001_R011,2024-01-05,2024-01-08,5400000
PDD000291,DP00213,GLI001_R006,2024-01-05,2024-01-08,3600000
PDD000292,DP00214,VLO002_R032,2024-01-05,2024-01-06,1700000
PDD000293,DP00215,HNO001_R006,2024-01-05,2024-01-10,6000000
PDD000294,DP00216,HPG002_R009,2024-01-05,2024-01-09,4800000
PDD000295,DP00217,AGG001_R001,2024-01-05,2024-01-10,6000000
PDD000296,DP00217,KGI002_R035,2024-01-05,2024-01-08,3000000
PDD000297,DP00218,HNO001_R030,2024-01-05,2024-01-07,4000000
PDD000298,DP00218,KGI001_R010,2024-01-05,2024-01-10,9000000
PDD000299,DP00219,LCH001_R010,2024-01-05,2024-01-09,7200000
PDD000300,DP00219,QTR001_R019,2024-01-05,2024-01-08,5400000
PDD000301,DP00220,BGG003_R005,2024-01-05,2024-01-08,3600000
PDD000302,DP00221,CTO002_R009,2024-01-05,2024-01-08,4500000
PDD000303,DP00221,KGI002_R011,2024-01-05,2024-01-09,7200000
PDD000304,DP00222,KHA001_R019,2024-01-05,2024-01-07,3000000
PDD000305,DP00222,DLK001_R030,2024-01-05,2024-01-07,4400000
PDD000306,DP00223,GLI001_R003,2024-01-05,2024-01-07,2400000
PDD000307,DP00224,KHA001_R017,2024-01-05,2024-01-07,3000000
PDD000308,DP00225,DBI001_R003,2024-01-05,2024-01-08,3600000
PDD000309,DP00226,SLA001_R002,2024-01-05,2024-01-09,4800000
PDD000310,DP00227,BNH001_R027,2024-01-05,2024-01-10,5500000
PDD000311,DP00228,HYN001_R020,2024-01-05,2024-01-10,11000000
PDD000312,DP00229,CBG002_R018,2024-01-05,2024-01-07,7000000
PDD000313,DP00229,CTO001_R028,2024-01-05,2024-01-06,1100000
PDD000314,DP00230,DBI002_R016,2024-01-05,2024-01-09,6000000
PDD000315,DP00231,HPG002_R004,2024-01-05,2024-01-07,2400000
PDD000316,DP00231,LDO002_R003,2024-01-05,2024-01-09,4800000
PDD000317,DP00232,AGG003_R017,2024-01-05,2024-01-09,7200000
PDD000318,DP00233,CTO001_R009,2024-01-05,2024-01-07,3600000
PDD000319,DP00234,PYN002_R010,2024-01-05,2024-01-07,2400000
PDD000320,DP00235,TNH001_R015,2024-01-05,2024-01-10,9000000
PDD000321,DP00236,SLA002_R014,2024-01-05,2024-01-09,6000000
PDD000322,DP00237,DBI002_R023,2024-01-05,2024-01-06,1700000
PDD000323,DP00237,LAG002_R020,2024-01-05,2024-01-09,8800000
PDD000324,DP00237,DTP001_R015,2024-01-05,2024-01-06,1800000
PDD000325,DP00238,PTU001_R001,2024-01-05,2024-01-10,6000000
PDD000326,DP00238,TBI002_R005,2024-01-05,2024-01-09,4800000
PDD000327,DP00239,QNA001_R007,2024-01-05,2024-01-10,6000000
PDD000328,DP00239,HYN002_R010,2024-01-05,2024-01-07,7000000
PDD000329,DP00240,DNG002_R023,2024-01-05,2024-01-10,8500000
PDD000330,DP00241,AGG003_R018,2024-01-05,2024-01-06,1500000
PDD000331,DP00242,HNO005_R013,2024-01-05,2024-01-09,6000000
PDD000332,DP00243,HGG002_R017,2024-01-05,2024-01-10,7500000
PDD000333,DP00244,NBH002_R013,2024-01-05,2024-01-07,3000000
PDD000334,DP00245,BDG001_R018,2024-01-05,2024-01-10,9000000
PDD000335,DP00246,QNI001_R006,2024-01-05,2024-01-10,6000000
PDD000336,DP00247,KGI002_R006,2024-01-05,2024-01-10,6000000
PDD000337,DP00248,LAG002_R017,2024-01-05,2024-01-06,2800000
PDD000338,DP00249,NTN001_R006,2024-01-05,2024-01-09,4800000
PDD000339,DP00250,TBG002_R013,2024-01-05,2024-01-06,1700000
PDD000340,DP00251,BDH002_R014,2024-01-05,2024-01-06,1500000
PDD000341,DP00252,KGI002_R025,2024-01-05,2024-01-06,2800000
PDD000342,DP00252,GLI001_R030,2024-01-05,2024-01-10,10000000
PDD000343,DP00253,DLK002_R017,2024-01-05,2024-01-08,5400000
PDD000344,DP00253,CMU001_R020,2024-01-05,2024-01-08,7200000
PDD000345,DP00254,HTH001_R032,2024-01-05,2024-01-07,3400000
PDD000346,DP00255,TBG001_R018,2024-01-06,2024-01-10,11200000
PDD000347,DP00256,BDH002_R006,2024-01-06,2024-01-10,4800000
PDD000348,DP00257,BTE001_R016,2024-01-06,2024-01-11,7500000
PDD000349,DP00258,HDG002_R002,2024-01-06,2024-01-09,3600000
PDD000350,DP00259,YBI001_R008,2024-01-06,2024-01-11,9000000
PDD000351,DP00260,PTU001_R004,2024-01-06,2024-01-10,7200000
PDD000352,DP00260,DTP001_R022,2024-01-06,2024-01-09,8400000
PDD000353,DP00261,KTM002_R014,2024-01-06,2024-01-11,17500000
PDD000354,DP00262,BRV004_R015,2024-01-06,2024-01-07,1800000
PDD000355,DP00263,LCA002_R006,2024-01-06,2024-01-07,1500000
PDD000356,DP00263,TVH002_R018,2024-01-06,2024-01-09,6600000
PDD000357,DP00264,QTR001_R008,2024-01-06,2024-01-11,6000000
PDD000358,DP00265,HNO005_R016,2024-01-06,2024-01-10,9600000
PDD000359,DP00265,BNH002_R022,2024-01-06,2024-01-08,3000000
PDD000360,DP00266,TVH001_R017,2024-01-06,2024-01-10,6800000
PDD000361,DP00267,KGI001_R015,2024-01-06,2024-01-09,7200000
PDD000362,DP00267,HPG001_R011,2024-01-06,2024-01-08,3600000
PDD000363,DP00268,BGG001_R007,2024-01-06,2024-01-07,1200000
PDD000364,DP00269,PTU001_R003,2024-01-06,2024-01-08,2400000
PDD000365,DP00269,CBG002_R005,2024-01-06,2024-01-07,1200000
PDD000366,DP00269,BTE001_R002,2024-01-06,2024-01-08,2400000
PDD000367,DP00270,PTU002_R038,2024-01-06,2024-01-08,2600000
PDD000368,DP00271,BDH001_R006,2024-01-06,2024-01-11,6000000
PDD000369,DP00271,BNH001_R004,2024-01-06,2024-01-08,2400000
PDD000370,DP00272,HYN001_R004,2024-01-06,2024-01-10,4800000
PDD000371,DP00273,SLA001_R007,2024-01-06,2024-01-08,2400000
PDD000372,DP00274,LCI001_R018,2024-01-06,2024-01-09,5400000
PDD000373,DP00275,AGG002_R016,2024-01-06,2024-01-10,6000000
PDD000374,DP00276,AGG003_R002,2024-01-06,2024-01-07,1200000
PDD000375,DP00277,LAG002_R017,2024-01-06,2024-01-11,14000000
