MaSuDungDichVu,MaDichVu,MaPhongDuocDat,ThoiGian,SoLuong,ThanhTien
SDV000173,SVC004,PDD000036,2024-01-02,2,2400000
SDV000174,SVC015,PDD000024,2024-01-02,3,0
SDV000175,SVC025,PDD000055,2024-01-02,1,250000
SDV000176,SVC011,PDD000054,2024-01-02,3,1050000
SDV000177,SVC012,PDD000052,2024-01-02,2,1000000
SDV000178,SVC022,PDD000052,2024-01-02,2,0
SDV000179,SVC006,PDD000050,2024-01-02,3,900000
SDV000180,SVC016,PDD000050,2024-01-02,3,60000
SDV000181,SVC018,PDD000028,2024-01-02,2,4000000
SDV000182,SVC020,PDD000006,2024-01-02,1,0
SDV000183,SVC020,PDD000026,2024-01-02,2,0
SDV000184,SVC020,PDD000006,2024-01-02,3,0
SDV000185,SVC009,PDD000045,2024-01-02,3,0
SDV000186,SVC011,PDD000012,2024-01-02,3,1050000
SDV000187,SVC006,PDD000002,2024-01-02,2,600000
SDV000188,SVC018,PDD000002,2024-01-02,2,4000000
SDV000189,SVC023,PDD000012,2024-01-02,1,300000
SDV000190,SVC001,PDD000146,2024-01-03,1,300000
SDV000191,SVC007,PDD000154,2024-01-03,2,400000
SDV000192,SVC025,PDD000147,2024-01-03,3,750000
SDV000193,SVC012,PDD000150,2024-01-03,1,500000
SDV000194,SVC009,PDD000148,2024-01-03,1,0
SDV000195,SVC002,PDD000152,2024-01-03,2,240000
SDV000196,SVC014,PDD000152,2024-01-03,3,9000000
SDV000197,SVC009,PDD000150,2024-01-03,1,0
SDV000198,SVC023,PDD000150,2024-01-03,3,900000
SDV000199,SVC007,PDD000148,2024-01-03,1,200000
SDV000200,SVC023,PDD000147,2024-01-03,1,300000
SDV000201,SVC010,PDD000059,2024-01-03,2,400000
SDV000202,SVC005,PDD000134,2024-01-03,3,2400000
SDV000203,SVC008,PDD000144,2024-01-03,2,0
SDV000204,SVC014,PDD000119,2024-01-03,2,6000000
SDV000205,SVC005,PDD000119,2024-01-03,2,1600000
SDV000206,SVC006,PDD000119,2024-01-03,3,900000
SDV000207,SVC015,PDD000008,2024-01-03,1,0
SDV000208,SVC023,PDD000120,2024-01-03,3,900000
SDV000209,SVC019,PDD000123,2024-01-03,3,300000
SDV000210,SVC012,PDD000124,2024-01-03,1,500000
SDV000211,SVC013,PDD000124,2024-01-03,3,450000
SDV000212,SVC013,PDD000125,2024-01-03,3,450000
SDV000213,SVC002,PDD000129,2024-01-03,1,120000
SDV000214,SVC007,PDD000130,2024-01-03,1,200000
SDV000215,SVC006,PDD000131,2024-01-03,1,300000
SDV000216,SVC002,PDD000132,2024-01-03,1,120000
SDV000217,SVC010,PDD000132,2024-01-03,3,600000
SDV000218,SVC021,PDD000132,2024-01-03,2,0
SDV000219,SVC007,PDD000134,2024-01-03,1,200000
SDV000220,SVC002,PDD000135,2024-01-03,2,240000
SDV000221,SVC015,PDD000135,2024-01-03,1,0
SDV000222,SVC024,PDD000137,2024-01-03,2,200000
SDV000223,SVC011,PDD000137,2024-01-03,3,1050000
SDV000224,SVC019,PDD000140,2024-01-03,2,200000
SDV000225,SVC024,PDD000140,2024-01-03,3,300000
SDV000226,SVC015,PDD000141,2024-01-03,3,0
SDV000227,SVC020,PDD000145,2024-01-03,1,0
SDV000228,SVC022,PDD000154,2024-01-03,2,0
SDV000229,SVC011,PDD000158,2024-01-03,2,700000
SDV000230,SVC001,PDD000155,2024-01-03,1,300000
SDV000231,SVC014,PDD000178,2024-01-03,3,9000000
SDV000232,SVC007,PDD000178,2024-01-03,2,400000
SDV000233,SVC017,PDD000179,2024-01-03,3,1500000
SDV000234,SVC010,PDD000180,2024-01-03,3,600000
SDV000235,SVC015,PDD000180,2024-01-03,3,0
SDV000236,SVC021,PDD000182,2024-01-03,2,0
SDV000237,SVC021,PDD000182,2024-01-03,3,0
SDV000238,SVC020,PDD000182,2024-01-03,2,0
SDV000239,SVC025,PDD000182,2024-01-03,3,750000
SDV000240,SVC008,PDD000185,2024-01-03,2,0
SDV000241,SVC014,PDD000186,2024-01-03,2,6000000
SDV000242,SVC024,PDD000178,2024-01-03,3,300000
SDV000243,SVC009,PDD000186,2024-01-03,3,0
SDV000244,SVC008,PDD000187,2024-01-03,1,0
SDV000245,SVC001,PDD000187,2024-01-03,3,900000
SDV000246,SVC024,PDD000187,2024-01-03,2,200000
SDV000247,SVC011,PDD000189,2024-01-03,3,1050000
SDV000248,SVC019,PDD000189,2024-01-03,2,200000
SDV000249,SVC003,PDD000190,2024-01-03,1,0
SDV000250,SVC021,PDD000191,2024-01-03,1,0
SDV000251,SVC010,PDD000191,2024-01-03,3,600000
SDV000252,SVC023,PDD000193,2024-01-03,3,900000
SDV000253,SVC014,PDD000193,2024-01-03,1,3000000
SDV000254,SVC019,PDD000193,2024-01-03,2,200000
SDV000255,SVC018,PDD000187,2024-01-03,3,6000000
SDV000256,SVC009,PDD000178,2024-01-03,2,0
SDV000257,SVC019,PDD000178,2024-01-03,3,300000
SDV000258,SVC005,PDD000176,2024-01-03,3,2400000
SDV000259,SVC006,PDD000155,2024-01-03,2,600000
SDV000260,SVC020,PDD000157,2024-01-03,2,0
SDV000261,SVC016,PDD000157,2024-01-03,3,60000
SDV000262,SVC020,PDD000158,2024-01-03,1,0
SDV000263,SVC012,PDD000158,2024-01-03,1,500000
SDV000264,SVC004,PDD000158,2024-01-03,2,2400000
SDV000265,SVC018,PDD000161,2024-01-03,2,4000000
SDV000266,SVC012,PDD000161,2024-01-03,2,1000000
SDV000267,SVC008,PDD000165,2024-01-03,2,0
SDV000268,SVC022,PDD000166,2024-01-03,1,0
SDV000269,SVC004,PDD000166,2024-01-03,3,3600000
SDV000270,SVC018,PDD000166,2024-01-03,1,2000000
SDV000271,SVC004,PDD000166,2024-01-03,2,2400000
SDV000272,SVC021,PDD000166,2024-01-03,2,0
SDV000273,SVC002,PDD000167,2024-01-03,3,360000
SDV000274,SVC002,PDD000168,2024-01-03,1,120000
SDV000275,SVC002,PDD000168,2024-01-03,2,240000
SDV000276,SVC004,PDD000169,2024-01-03,1,1200000
SDV000277,SVC004,PDD000169,2024-01-03,2,2400000
SDV000278,SVC022,PDD000170,2024-01-03,2,0
SDV000279,SVC003,PDD000170,2024-01-03,1,0
SDV000280,SVC007,PDD000171,2024-01-03,1,200000
SDV000281,SVC015,PDD000172,2024-01-03,2,0
SDV000282,SVC025,PDD000173,2024-01-03,2,500000
SDV000283,SVC012,PDD000174,2024-01-03,1,500000
SDV000284,SVC003,PDD000154,2024-01-03,1,0
SDV000285,SVC024,PDD000008,2024-01-03,2,200000
SDV000286,SVC013,PDD000158,2024-01-03,2,300000
SDV000287,SVC007,PDD000074,2024-01-03,1,200000
SDV000288,SVC004,PDD000063,2024-01-03,3,3600000
SDV000289,SVC021,PDD000048,2024-01-03,2,0
SDV000290,SVC007,PDD000052,2024-01-03,2,400000
SDV000291,SVC002,PDD000035,2024-01-03,3,360000
SDV000292,SVC018,PDD000034,2024-01-03,3,6000000
SDV000293,SVC003,PDD000033,2024-01-03,2,0
SDV000294,SVC018,PDD000059,2024-01-03,1,2000000
SDV000295,SVC012,PDD000094,2024-01-03,2,1000000
SDV000296,SVC004,PDD000094,2024-01-03,1,1200000
SDV000297,SVC015,PDD000024,2024-01-03,1,0
SDV000298,SVC007,PDD000099,2024-01-03,1,200000
SDV000299,SVC019,PDD000099,2024-01-03,3,300000
SDV000300,SVC013,PDD000101,2024-01-03,1,150000
SDV000301,SVC011,PDD000101,2024-01-03,2,700000
SDV000302,SVC002,PDD000040,2024-01-03,1,120000
SDV000303,SVC007,PDD000107,2024-01-03,3,600000
SDV000304,SVC019,PDD000107,2024-01-03,3,300000
SDV000305,SVC022,PDD000019,2024-01-03,2,0
SDV000306,SVC015,PDD000018,2024-01-03,3,0
SDV000307,SVC002,PDD000081,2024-01-03,2,240000
SDV000308,SVC011,PDD000017,2024-01-03,3,1050000
SDV000309,SVC017,PDD000048,2024-01-03,2,1000000
SDV000310,SVC011,PDD000040,2024-01-03,1,350000
SDV000311,SVC024,PDD000118,2024-01-03,3,300000
SDV000312,SVC018,PDD000042,2024-01-03,3,6000000
SDV000313,SVC016,PDD000072,2024-01-03,3,60000
SDV000314,SVC022,PDD000072,2024-01-03,2,0
SDV000315,SVC008,PDD000074,2024-01-03,3,0
SDV000316,SVC008,PDD000042,2024-01-03,1,0
SDV000317,SVC003,PDD000071,2024-01-03,3,0
SDV000318,SVC022,PDD000070,2024-01-03,2,0
SDV000319,SVC022,PDD000070,2024-01-03,2,0
SDV000320,SVC022,PDD000070,2024-01-03,1,0
SDV000321,SVC006,PDD000045,2024-01-03,1,300000
SDV000322,SVC012,PDD000045,2024-01-03,3,1500000
SDV000323,SVC010,PDD000069,2024-01-03,3,600000
SDV000324,SVC021,PDD000047,2024-01-03,2,0
SDV000325,SVC006,PDD000048,2024-01-03,3,900000
SDV000326,SVC013,PDD000066,2024-01-03,2,300000
SDV000327,SVC022,PDD000048,2024-01-03,3,0
SDV000328,SVC007,PDD000064,2024-01-03,1,200000
SDV000329,SVC001,PDD000077,2024-01-03,2,600000
SDV000330,SVC017,PDD000080,2024-01-03,2,1000000
SDV000331,SVC006,PDD000017,2024-01-03,2,600000
SDV000332,SVC021,PDD000023,2024-01-03,1,0
SDV000333,SVC020,PDD000115,2024-01-03,2,0
SDV000334,SVC008,PDD000011,2024-01-03,2,0
SDV000335,SVC016,PDD000114,2024-01-03,2,40000
SDV000336,SVC007,PDD000113,2024-01-03,1,200000
SDV000337,SVC001,PDD000115,2024-01-03,1,300000
SDV000338,SVC016,PDD000010,2024-01-03,1,20000
SDV000339,SVC008,PDD000010,2024-01-03,1,0
SDV000340,SVC012,PDD000118,2024-01-03,2,1000000
SDV000341,SVC019,PDD000117,2024-01-03,3,300000
SDV000342,SVC016,PDD000231,2024-01-04,3,60000
SDV000343,SVC019,PDD000192,2024-01-04,1,100000
SDV000344,SVC021,PDD000192,2024-01-04,1,0
SDV000345,SVC005,PDD000231,2024-01-04,1,800000
SDV000346,SVC016,PDD000231,2024-01-04,1,20000
SDV000347,SVC025,PDD000230,2024-01-04,3,750000
SDV000348,SVC010,PDD000229,2024-01-04,1,200000
SDV000349,SVC009,PDD000229,2024-01-04,2,0
SDV000350,SVC015,PDD000229,2024-01-04,3,0
SDV000351,SVC011,PDD000193,2024-01-04,3,1050000
SDV000352,SVC005,PDD000193,2024-01-04,1,800000
SDV000353,SVC016,PDD000195,2024-01-04,2,40000
SDV000354,SVC025,PDD000199,2024-01-04,2,500000
SDV000355,SVC023,PDD000201,2024-01-04,3,900000
SDV000356,SVC018,PDD000201,2024-01-04,1,2000000
SDV000357,SVC022,PDD000201,2024-01-04,3,0
SDV000358,SVC023,PDD000204,2024-01-04,2,600000
SDV000359,SVC017,PDD000204,2024-01-04,1,500000
SDV000360,SVC023,PDD000204,2024-01-04,3,900000
SDV000361,SVC004,PDD000204,2024-01-04,2,2400000
SDV000362,SVC003,PDD000204,2024-01-04,1,0
SDV000363,SVC005,PDD000205,2024-01-04,3,2400000
SDV000364,SVC011,PDD000206,2024-01-04,2,700000
SDV000365,SVC008,PDD000194,2024-01-04,2,0
SDV000366,SVC001,PDD000231,2024-01-04,1,300000
SDV000367,SVC020,PDD000245,2024-01-04,3,0
SDV000368,SVC012,PDD000190,2024-01-04,3,1500000
SDV000369,SVC010,PDD000239,2024-01-04,3,600000
SDV000370,SVC024,PDD000180,2024-01-04,2,200000
SDV000371,SVC023,PDD000241,2024-01-04,1,300000
SDV000372,SVC001,PDD000180,2024-01-04,3,900000
SDV000373,SVC006,PDD000236,2024-01-04,2,600000
SDV000374,SVC005,PDD000235,2024-01-04,1,800000
SDV000375,SVC001,PDD000235,2024-01-04,2,600000
SDV000376,SVC025,PDD000233,2024-01-04,1,250000
SDV000377,SVC016,PDD000184,2024-01-04,3,60000
SDV000378,SVC018,PDD000243,2024-01-04,2,4000000
SDV000379,SVC022,PDD000185,2024-01-04,3,0
SDV000380,SVC015,PDD000063,2024-01-04,1,0
SDV000381,SVC019,PDD000243,2024-01-04,1,100000
SDV000382,SVC009,PDD000232,2024-01-04,2,0
SDV000383,SVC001,PDD000232,2024-01-04,1,300000
SDV000384,SVC006,PDD000066,2024-01-04,3,900000
SDV000385,SVC025,PDD000187,2024-01-04,2,500000
SDV000386,SVC010,PDD000232,2024-01-04,2,400000
SDV000387,SVC022,PDD000232,2024-01-04,1,0
SDV000388,SVC001,PDD000189,2024-01-04,3,900000
SDV000389,SVC004,PDD000189,2024-01-04,1,1200000
SDV000390,SVC011,PDD000231,2024-01-04,1,350000
SDV000391,SVC014,PDD000189,2024-01-04,3,9000000
SDV000392,SVC024,PDD000206,2024-01-04,3,300000
SDV000393,SVC013,PDD000244,2024-01-04,2,300000
SDV000394,SVC016,PDD000229,2024-01-04,3,60000
SDV000395,SVC001,PDD000206,2024-01-04,3,900000
SDV000396,SVC001,PDD000258,2024-01-04,1,300000
SDV000397,SVC025,PDD000219,2024-01-04,2,500000
SDV000398,SVC012,PDD000219,2024-01-04,2,1000000
SDV000399,SVC022,PDD000219,2024-01-04,2,0
SDV000400,SVC001,PDD000219,2024-01-04,1,300000
SDV000401,SVC006,PDD000219,2024-01-04,2,600000
SDV000402,SVC005,PDD000249,2024-01-04,1,800000
SDV000403,SVC016,PDD000227,2024-01-04,3,60000
SDV000404,SVC006,PDD000220,2024-01-04,2,600000
SDV000405,SVC015,PDD000227,2024-01-04,2,0
SDV000406,SVC003,PDD000244,2024-01-04,2,0
SDV000407,SVC023,PDD000244,2024-01-04,2,600000
SDV000408,SVC012,PDD000249,2024-01-04,3,1500000
SDV000409,SVC002,PDD000221,2024-01-04,2,240000
SDV000410,SVC014,PDD000249,2024-01-04,1,3000000
SDV000411,SVC003,PDD000249,2024-01-04,1,0
SDV000412,SVC019,PDD000226,2024-01-04,1,100000
SDV000413,SVC003,PDD000245,2024-01-04,3,0
SDV000414,SVC025,PDD000222,2024-01-04,3,750000
SDV000415,SVC014,PDD000249,2024-01-04,2,6000000
SDV000416,SVC018,PDD000247,2024-01-04,2,4000000
SDV000417,SVC004,PDD000222,2024-01-04,3,3600000
SDV000418,SVC005,PDD000247,2024-01-04,2,1600000
SDV000419,SVC003,PDD000224,2024-01-04,2,0
SDV000420,SVC011,PDD000224,2024-01-04,3,1050000
SDV000421,SVC017,PDD000224,2024-01-04,2,1000000
SDV000422,SVC002,PDD000225,2024-01-04,2,240000
SDV000423,SVC009,PDD000246,2024-01-04,3,0
SDV000424,SVC019,PDD000217,2024-01-04,2,200000
SDV000425,SVC010,PDD000225,2024-01-04,3,600000
SDV000426,SVC012,PDD000217,2024-01-04,2,1000000
SDV000427,SVC009,PDD000216,2024-01-04,3,0
SDV000428,SVC005,PDD000229,2024-01-04,3,2400000
SDV000429,SVC006,PDD000256,2024-01-04,2,600000
SDV000430,SVC005,PDD000256,2024-01-04,3,2400000
SDV000431,SVC023,PDD000208,2024-01-04,3,900000
SDV000432,SVC001,PDD000208,2024-01-04,1,300000
SDV000433,SVC018,PDD000256,2024-01-04,1,2000000
SDV000434,SVC021,PDD000210,2024-01-04,1,0
SDV000435,SVC009,PDD000255,2024-01-04,1,0
SDV000436,SVC010,PDD000254,2024-01-04,3,600000
SDV000437,SVC004,PDD000254,2024-01-04,1,1200000
SDV000438,SVC025,PDD000228,2024-01-04,3,750000
SDV000439,SVC020,PDD000228,2024-01-04,2,0
SDV000440,SVC008,PDD000211,2024-01-04,1,0
SDV000441,SVC014,PDD000212,2024-01-04,3,9000000
SDV000442,SVC011,PDD000212,2024-01-04,3,1050000
SDV000443,SVC010,PDD000212,2024-01-04,1,200000
SDV000444,SVC006,PDD000212,2024-01-04,1,300000
SDV000445,SVC019,PDD000228,2024-01-04,3,300000
SDV000446,SVC023,PDD000212,2024-01-04,3,900000
SDV000447,SVC008,PDD000228,2024-01-04,2,0
SDV000448,SVC022,PDD000228,2024-01-04,2,0
SDV000449,SVC012,PDD000213,2024-01-04,2,1000000
SDV000450,SVC006,PDD000213,2024-01-04,2,600000
SDV000451,SVC007,PDD000252,2024-01-04,1,200000
SDV000452,SVC025,PDD000251,2024-01-04,3,750000
SDV000453,SVC022,PDD000250,2024-01-04,2,0
SDV000454,SVC022,PDD000250,2024-01-04,1,0
SDV000455,SVC023,PDD000217,2024-01-04,2,600000
SDV000456,SVC021,PDD000176,2024-01-04,2,0
SDV000457,SVC005,PDD000119,2024-01-04,1,800000
SDV000458,SVC017,PDD000098,2024-01-04,3,1500000
SDV000459,SVC005,PDD000132,2024-01-04,2,1600000
SDV000460,SVC010,PDD000111,2024-01-04,3,600000
SDV000461,SVC003,PDD000133,2024-01-04,1,0
SDV000462,SVC002,PDD000111,2024-01-04,2,240000
SDV000463,SVC018,PDD000110,2024-01-04,2,4000000
SDV000464,SVC009,PDD000105,2024-01-04,3,0
SDV000465,SVC011,PDD000146,2024-01-04,3,1050000
SDV000466,SVC021,PDD000105,2024-01-04,3,0
SDV000467,SVC014,PDD000019,2024-01-04,2,6000000
SDV000468,SVC020,PDD000132,2024-01-04,2,0
SDV000469,SVC006,PDD000150,2024-01-04,3,900000
SDV000470,SVC024,PDD000101,2024-01-04,2,200000
SDV000471,SVC009,PDD000153,2024-01-04,3,0
SDV000472,SVC024,PDD000176,2024-01-04,1,100000
SDV000473,SVC009,PDD000155,2024-01-04,2,0
SDV000474,SVC018,PDD000095,2024-01-04,3,6000000
SDV000475,SVC008,PDD000094,2024-01-04,3,0
SDV000476,SVC009,PDD000094,2024-01-04,2,0
SDV000477,SVC003,PDD000161,2024-01-04,1,0
SDV000478,SVC020,PDD000164,2024-01-04,2,0
SDV000479,SVC025,PDD000101,2024-01-04,1,250000
SDV000480,SVC024,PDD000112,2024-01-04,1,100000
