MaDanhGia,MaPhongDuocDat,ThoiGian,DiemDanhGia,NhanXet
DGPDD000091_1,PDD000091,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000006_1,PDD000006,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000134_1,PDD000134,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000009_1,PDD000009,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000118_1,PDD000118,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000102_1,PDD000102,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000017_1,PDD000017,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000137_1,PDD000137,2024-01-05,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000104_1,PDD000104,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000013_1,PDD000013,2024-01-05,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000014_1,PDD000014,2024-01-05,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000120_1,PDD000120,2024-01-06,5,Tuyệt vời!
DGPDD000121_1,PDD000121,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000123_1,PDD000123,2024-01-06,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000107_1,PDD000107,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000102_2,PDD000102,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000165_1,PDD000165,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000131_1,PDD000131,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000094_1,PDD000094,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000091_2,PDD000091,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000085_1,PDD000085,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000064_1,PDD000064,2024-01-06,5,Tuyệt vời!
DGPDD000088_1,PDD000088,2024-01-06,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000182_1,PDD000182,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000054_1,PDD000054,2024-01-06,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000025_1,PDD000025,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000056_1,PDD000056,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000249_1,PDD000249,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000229_1,PDD000229,2024-01-06,5,"Rất hài lòng, sẽ quay lại."
DGPDD000028_1,PDD000028,2024-01-06,2,Không hài lòng lắm.
DGPDD000029_1,PDD000029,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000036_1,PDD000036,2024-01-06,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000256_1,PDD000256,2024-01-06,2,Không hài lòng lắm.
DGPDD000018_1,PDD000018,2024-01-06,5,Dịch vụ hoàn hảo.
DGPDD000039_2,PDD000039,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000015_2,PDD000015,2024-01-06,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000206_1,PDD000206,2024-01-06,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000010_1,PDD000010,2024-01-06,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000048_1,PDD000048,2024-01-06,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000180_1,PDD000180,2024-01-06,5,Tuyệt vời!
DGPDD000016_1,PDD000016,2024-01-06,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000132_1,PDD000132,2024-01-07,5,Tuyệt vời!
DGPDD000249_2,PDD000249,2024-01-07,5,Dịch vụ hoàn hảo.
DGPDD000124_1,PDD000124,2024-01-07,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000259_1,PDD000259,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000130_1,PDD000130,2024-01-07,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000276_1,PDD000276,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000244_1,PDD000244,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000133_1,PDD000133,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000337_1,PDD000337,2024-01-07,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000239_1,PDD000239,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000134_2,PDD000134,2024-01-07,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000322_1,PDD000322,2024-01-07,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000136_1,PDD000136,2024-01-07,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000229_2,PDD000229,2024-01-07,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000143_1,PDD000143,2024-01-07,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000228_1,PDD000228,2024-01-07,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000151_1,PDD000151,2024-01-07,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000158_1,PDD000158,2024-01-07,5,Dịch vụ hoàn hảo.
DGPDD000218_1,PDD000218,2024-01-07,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000212_1,PDD000212,2024-01-07,5,"Rất hài lòng, sẽ quay lại."
DGPDD000204_1,PDD000204,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000185_1,PDD000185,2024-01-07,5,Dịch vụ hoàn hảo.
DGPDD000115_1,PDD000115,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000243_1,PDD000243,2024-01-07,5,"Rất hài lòng, sẽ quay lại."
DGPDD000113_1,PDD000113,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000146_1,PDD000146,2024-01-07,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000020_1,PDD000020,2024-01-07,5,"Rất hài lòng, sẽ quay lại."
DGPDD000066_1,PDD000066,2024-01-07,5,Dịch vụ hoàn hảo.
DGPDD000053_1,PDD000053,2024-01-07,5,Dịch vụ hoàn hảo.
DGPDD000073_1,PDD000073,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000044_1,PDD000044,2024-01-07,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000095_1,PDD000095,2024-01-07,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000099_1,PDD000099,2024-01-07,5,"Rất hài lòng, sẽ quay lại."
DGPDD000024_1,PDD000024,2024-01-07,5,"Rất hài lòng, sẽ quay lại."
DGPDD000034_1,PDD000034,2024-01-07,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000009_2,PDD000009,2024-01-07,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000074_1,PDD000074,2024-01-07,5,"Rất hài lòng, sẽ quay lại."
DGPDD000042_1,PDD000042,2024-01-07,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000040_1,PDD000040,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000041_1,PDD000041,2024-01-07,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000161_1,PDD000161,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000319_1,PDD000319,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000158_2,PDD000158,2024-01-08,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000022_1,PDD000022,2024-01-08,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000019_1,PDD000019,2024-01-08,5,"Rất hài lòng, sẽ quay lại."
DGPDD000432_1,PDD000432,2024-01-08,1,"Rất tệ, không quay lại."
DGPDD000242_1,PDD000242,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000160_1,PDD000160,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000239_2,PDD000239,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000236_1,PDD000236,2024-01-08,5,"Rất hài lòng, sẽ quay lại."
DGPDD000025_2,PDD000025,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000155_1,PDD000155,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000050_1,PDD000050,2024-01-08,5,Dịch vụ hoàn hảo.
DGPDD000188_1,PDD000188,2024-01-08,5,Tuyệt vời!
DGPDD000226_1,PDD000226,2024-01-08,5,"Rất hài lòng, sẽ quay lại."
DGPDD000395_1,PDD000395,2024-01-08,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000379_1,PDD000379,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000219_1,PDD000219,2024-01-08,1,"Rất tệ, không quay lại."
DGPDD000201_1,PDD000201,2024-01-08,5,Dịch vụ hoàn hảo.
DGPDD000214_1,PDD000214,2024-01-08,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000416_1,PDD000416,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000251_1,PDD000251,2024-01-08,5,Tuyệt vời!
DGPDD000208_1,PDD000208,2024-01-08,5,Tuyệt vời!
DGPDD000122_1,PDD000122,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000096_1,PDD000096,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000270_1,PDD000270,2024-01-08,5,Dịch vụ hoàn hảo.
DGPDD000100_1,PDD000100,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000094_2,PDD000094,2024-01-08,2,Không hài lòng lắm.
DGPDD000306_1,PDD000306,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000307_1,PDD000307,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000089_1,PDD000089,2024-01-08,5,"Rất hài lòng, sẽ quay lại."
DGPDD000086_1,PDD000086,2024-01-08,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000085_2,PDD000085,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000111_1,PDD000111,2024-01-08,2,Không hài lòng lắm.
DGPDD000305_1,PDD000305,2024-01-08,2,Không hài lòng lắm.
DGPDD000084_1,PDD000084,2024-01-08,1,"Rất tệ, không quay lại."
DGPDD000150_1,PDD000150,2024-01-08,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000292_1,PDD000292,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000011_1,PDD000011,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000016_2,PDD000016,2024-01-08,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000315_1,PDD000315,2024-01-08,1,"Rất tệ, không quay lại."
DGPDD000281_1,PDD000281,2024-01-08,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000345_1,PDD000345,2024-01-09,5,Tuyệt vời!
DGPDD000354_1,PDD000354,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000224_1,PDD000224,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000340_1,PDD000340,2024-01-09,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000212_2,PDD000212,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000301_1,PDD000301,2024-01-09,1,"Rất tệ, không quay lại."
DGPDD000221_1,PDD000221,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000343_1,PDD000343,2024-01-09,1,"Rất tệ, không quay lại."
DGPDD000275_1,PDD000275,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000304_1,PDD000304,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000037_1,PDD000037,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000285_1,PDD000285,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000255_1,PDD000255,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000339_1,PDD000339,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000026_1,PDD000026,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000250_1,PDD000250,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000313_1,PDD000313,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000363_1,PDD000363,2024-01-09,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000258_1,PDD000258,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000020_2,PDD000020,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000262_1,PDD000262,2024-01-09,5,Tuyệt vời!
DGPDD000263_1,PDD000263,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000265_1,PDD000265,2024-01-09,1,"Rất tệ, không quay lại."
DGPDD000240_1,PDD000240,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000266_1,PDD000266,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000328_1,PDD000328,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000312_1,PDD000312,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000236_2,PDD000236,2024-01-09,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000318_1,PDD000318,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000230_1,PDD000230,2024-01-09,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000228_2,PDD000228,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000112_1,PDD000112,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000202_1,PDD000202,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000287_1,PDD000287,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000466_1,PDD000466,2024-01-09,2,Không hài lòng lắm.
DGPDD000071_1,PDD000071,2024-01-09,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000176_1,PDD000176,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000175_1,PDD000175,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000498_1,PDD000498,2024-01-09,5,Tuyệt vời!
DGPDD000428_1,PDD000428,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000168_1,PDD000168,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000132_2,PDD000132,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000136_2,PDD000136,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000141_1,PDD000141,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000364_1,PDD000364,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000142_1,PDD000142,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000074_2,PDD000074,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000151_2,PDD000151,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000149_1,PDD000149,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000145_1,PDD000145,2024-01-09,5,Tuyệt vời!
DGPDD000139_1,PDD000139,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000128_1,PDD000128,2024-01-09,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000181_1,PDD000181,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000124_2,PDD000124,2024-01-09,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000115_2,PDD000115,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000371_1,PDD000371,2024-01-09,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000116_1,PDD000116,2024-01-09,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000117_1,PDD000117,2024-01-09,5,"Rất hài lòng, sẽ quay lại."
DGPDD000377_1,PDD000377,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000111_2,PDD000111,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000378_1,PDD000378,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000197_1,PDD000197,2024-01-09,5,Dịch vụ hoàn hảo.
DGPDD000195_1,PDD000195,2024-01-09,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000103_1,PDD000103,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000194_1,PDD000194,2024-01-09,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000190_1,PDD000190,2024-01-09,5,Dịch vụ hoàn hảo.
DGPDD000289_1,PDD000289,2024-01-09,5,Dịch vụ hoàn hảo.
DGPDD000308_1,PDD000308,2024-01-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000296_1,PDD000296,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000304_2,PDD000304,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000292_2,PDD000292,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000495_1,PDD000495,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000466_2,PDD000466,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000312_2,PDD000312,2024-01-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000290_1,PDD000290,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000490_1,PDD000490,2024-01-10,2,Không hài lòng lắm.
DGPDD000359_1,PDD000359,2024-01-10,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000579_1,PDD000579,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000366_1,PDD000366,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000369_1,PDD000369,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000352_1,PDD000352,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000376_1,PDD000376,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000488_1,PDD000488,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000379_2,PDD000379,2024-01-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000389_1,PDD000389,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000340_2,PDD000340,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000401_1,PDD000401,2024-01-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000573_1,PDD000573,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000405_1,PDD000405,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000407_1,PDD000407,2024-01-10,5,Tuyệt vời!
DGPDD000412_1,PDD000412,2024-01-10,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000415_1,PDD000415,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000525_1,PDD000525,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000429_1,PDD000429,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000434_1,PDD000434,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000447_1,PDD000447,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000449_1,PDD000449,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000452_1,PDD000452,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000456_1,PDD000456,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000465_1,PDD000465,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000451_1,PDD000451,2024-01-10,2,"Phòng hơi bẩn, phục vụ chưa tốt."
DGPDD000538_1,PDD000538,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000183_1,PDD000183,2024-01-10,2,Không hài lòng lắm.
DGPDD000147_1,PDD000147,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000203_1,PDD000203,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000253_1,PDD000253,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000214_2,PDD000214,2024-01-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000199_1,PDD000199,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000026_2,PDD000026,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000164_1,PDD000164,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000093_1,PDD000093,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000167_1,PDD000167,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000080_1,PDD000080,2024-01-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000142_2,PDD000142,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000022_2,PDD000022,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000237_1,PDD000237,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000207_1,PDD000207,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000162_1,PDD000162,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000233_1,PDD000233,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000286_1,PDD000286,2024-01-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000221_2,PDD000221,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000155_2,PDD000155,2024-01-10,4,"Tốt, nhưng còn vài điểm cần cải thiện."
DGPDD000160_2,PDD000160,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000220_1,PDD000220,2024-01-10,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000196_1,PDD000196,2024-01-10,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000108_1,PDD000108,2024-01-10,5,Dịch vụ hoàn hảo.
DGPDD000184_1,PDD000184,2024-01-10,2,Không hài lòng lắm.
DGPDD000157_1,PDD000157,2024-01-10,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000173_1,PDD000173,2024-01-10,2,Không hài lòng lắm.
DGPDD000360_1,PDD000360,2024-01-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000621_1,PDD000621,2024-01-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000522_1,PDD000522,2024-01-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000569_1,PDD000569,2024-01-11,3,"Tạm ổn, cần nâng cấp một số tiện nghi."
DGPDD000211_1,PDD000211,2024-01-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD000162_2,PDD000162,2024-01-11,5,"Rất hài lòng, sẽ quay lại."
DGPDD000386_1,PDD000386,2024-01-11,3,"Phục vụ trung bình, giá hợp lý."
DGPDD000571_1,PDD000571,2024-01-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
DGPDD000630_1,PDD000630,2024-01-11,4,"Nhân viên thân thiện, phòng sạch sẽ."
