MaPhong,MaKhachSan,LoaiPhong,GiaNiemYet,TrangThai
AGG003_R028,AGG003,Family Room,2200000,Đang sử dụng
AGG003_R029,AGG003,Family Room,2200000,Trống
AGG003_R030,AGG003,Connecting Room,2000000,Đang sử dụng
AGG003_R031,AGG003,Connecting Room,2000000,Đang dọn
AGG003_R032,AGG003,Twin Room,1700000,Trống
AGG003_R033,AGG003,Double Room,1700000,Đang sử dụng
AGG003_R034,AGG003,Double Room,1700000,Đang dọn
AGG003_R035,AGG003,Single Room,1000000,Đang sử dụng
AGG003_R036,AGG003,Studio Room,1300000,Trống
AGG003_R037,AGG003,Accessible Room,1100000,Đang dọn
AGG004_R001,AGG004,Standard Room,1200000,Đang dọn
AGG004_R002,AGG004,Standard Room,1200000,Đang sử dụng
AGG004_R003,AGG004,Standard Room,1200000,Trống
AGG004_R004,AGG004,Standard Room,1200000,Trống
AGG004_R005,AGG004,Standard Room,1200000,Đang sử dụng
AGG004_R006,AGG004,Standard Room,1200000,Đang sử dụng
AGG004_R007,AGG004,Standard Room,1200000,Trống
AGG004_R008,AGG004,Standard Room,1200000,Đang dọn
AGG004_R009,AGG004,Standard Room,1200000,Trống
AGG004_R010,AGG004,Deluxe Room,1800000,Trống
AGG004_R011,AGG004,Deluxe Room,1800000,Trống
AGG004_R012,AGG004,Deluxe Room,1800000,Đang sử dụng
AGG004_R013,AGG004,Deluxe Room,1800000,Trống
AGG004_R014,AGG004,Deluxe Room,1800000,Trống
AGG004_R015,AGG004,Deluxe Room,1800000,Đang sử dụng
AGG004_R016,AGG004,Superior Room,1500000,Đang sử dụng
AGG004_R017,AGG004,Superior Room,1500000,Đang dọn
AGG004_R018,AGG004,Superior Room,1500000,Trống
AGG004_R019,AGG004,Superior Room,1500000,Trống
AGG004_R020,AGG004,Executive Room,2400000,Đang sử dụng
AGG004_R021,AGG004,Executive Room,2400000,Đang sử dụng
AGG004_R022,AGG004,Junior Suite,2800000,Đang sử dụng
AGG004_R023,AGG004,Junior Suite,2800000,Đang dọn
AGG004_R024,AGG004,Suite,3500000,Đang sử dụng
AGG004_R025,AGG004,Suite,3500000,Đang dọn
AGG004_R026,AGG004,Family Room,2200000,Trống
AGG004_R027,AGG004,Family Room,2200000,Trống
AGG004_R028,AGG004,Connecting Room,2000000,Trống
AGG004_R029,AGG004,Connecting Room,2000000,Đang sử dụng
AGG004_R030,AGG004,Twin Room,1700000,Đang dọn
AGG004_R031,AGG004,Double Room,1700000,Trống
AGG004_R032,AGG004,Double Room,1700000,Trống
AGG004_R033,AGG004,Single Room,1000000,Đang sử dụng
AGG004_R034,AGG004,Studio Room,1300000,Đang sử dụng
AGG004_R035,AGG004,Accessible Room,1100000,Đang sử dụng
AGG005_R001,AGG005,Standard Room,1200000,Đang sử dụng
AGG005_R002,AGG005,Standard Room,1200000,Đang dọn
AGG005_R003,AGG005,Standard Room,1200000,Đang sử dụng
AGG005_R004,AGG005,Standard Room,1200000,Đang dọn
AGG005_R005,AGG005,Deluxe Room,1800000,Đang dọn
AGG005_R006,AGG005,Deluxe Room,1800000,Đang sử dụng
AGG005_R007,AGG005,Deluxe Room,1800000,Đang dọn
AGG005_R008,AGG005,Superior Room,1500000,Đang sử dụng
AGG005_R009,AGG005,Superior Room,1500000,Trống
AGG005_R010,AGG005,Executive Room,2400000,Trống
AGG005_R011,AGG005,Junior Suite,2800000,Đang dọn
AGG005_R012,AGG005,Suite,3500000,Đang dọn
AGG005_R013,AGG005,Family Room,2200000,Đang dọn
AGG005_R014,AGG005,Connecting Room,2000000,Đang sử dụng
AGG005_R015,AGG005,Twin Room,1700000,Đang dọn
AGG005_R016,AGG005,Double Room,1700000,Đang sử dụng
BRV001_R001,BRV001,Standard Room,1200000,Đang dọn
BRV001_R002,BRV001,Standard Room,1200000,Trống
BRV001_R003,BRV001,Standard Room,1200000,Trống
BRV001_R004,BRV001,Standard Room,1200000,Đang sử dụng
BRV001_R005,BRV001,Standard Room,1200000,Trống
BRV001_R006,BRV001,Standard Room,1200000,Trống
BRV001_R007,BRV001,Standard Room,1200000,Đang sử dụng
BRV001_R008,BRV001,Standard Room,1200000,Đang dọn
BRV001_R009,BRV001,Standard Room,1200000,Đang sử dụng
BRV001_R010,BRV001,Standard Room,1200000,Trống
BRV001_R011,BRV001,Deluxe Room,1800000,Đang sử dụng
BRV001_R012,BRV001,Deluxe Room,1800000,Đang sử dụng
BRV001_R013,BRV001,Deluxe Room,1800000,Đang dọn
BRV001_R014,BRV001,Deluxe Room,1800000,Đang sử dụng
BRV001_R015,BRV001,Deluxe Room,1800000,Trống
BRV001_R016,BRV001,Deluxe Room,1800000,Đang dọn
BRV001_R017,BRV001,Deluxe Room,1800000,Đang sử dụng
BRV001_R018,BRV001,Superior Room,1500000,Đang sử dụng
BRV001_R019,BRV001,Superior Room,1500000,Đang dọn
BRV001_R020,BRV001,Superior Room,1500000,Đang sử dụng
BRV001_R021,BRV001,Superior Room,1500000,Đang dọn
BRV001_R022,BRV001,Executive Room,2400000,Trống
BRV001_R023,BRV001,Executive Room,2400000,Đang sử dụng
BRV001_R024,BRV001,Junior Suite,2800000,Đang sử dụng
BRV001_R025,BRV001,Junior Suite,2800000,Đang sử dụng
BRV001_R026,BRV001,Suite,3500000,Trống
BRV001_R027,BRV001,Suite,3500000,Đang dọn
BRV001_R028,BRV001,Family Room,2200000,Đang dọn
BRV001_R029,BRV001,Family Room,2200000,Đang dọn
BRV001_R030,BRV001,Connecting Room,2000000,Đang sử dụng
BRV001_R031,BRV001,Connecting Room,2000000,Đang sử dụng
BRV001_R032,BRV001,Twin Room,1700000,Đang dọn
BRV001_R033,BRV001,Double Room,1700000,Trống
BRV001_R034,BRV001,Double Room,1700000,Đang dọn
BRV001_R035,BRV001,Single Room,1000000,Trống
BRV001_R036,BRV001,Studio Room,1300000,Đang dọn
BRV001_R037,BRV001,Accessible Room,1100000,Đang sử dụng
BRV002_R001,BRV002,Standard Room,1200000,Trống
BRV002_R002,BRV002,Standard Room,1200000,Đang sử dụng
BRV002_R003,BRV002,Standard Room,1200000,Trống
BRV002_R004,BRV002,Standard Room,1200000,Đang sử dụng
BRV002_R005,BRV002,Standard Room,1200000,Đang dọn
BRV002_R006,BRV002,Standard Room,1200000,Trống
BRV002_R007,BRV002,Deluxe Room,1800000,Đang sử dụng
BRV002_R008,BRV002,Deluxe Room,1800000,Đang dọn
BRV002_R009,BRV002,Deluxe Room,1800000,Đang sử dụng
BRV002_R010,BRV002,Deluxe Room,1800000,Trống
BRV002_R011,BRV002,Superior Room,1500000,Đang sử dụng
BRV002_R012,BRV002,Superior Room,1500000,Đang sử dụng
BRV002_R013,BRV002,Executive Room,2400000,Trống
BRV002_R014,BRV002,Junior Suite,2800000,Đang sử dụng
BRV002_R015,BRV002,Suite,3500000,Đang sử dụng
BRV002_R016,BRV002,Family Room,2200000,Đang sử dụng
BRV002_R017,BRV002,Connecting Room,2000000,Đang dọn
BRV002_R018,BRV002,Twin Room,1700000,Trống
BRV002_R019,BRV002,Double Room,1700000,Trống
BRV003_R001,BRV003,Standard Room,1200000,Đang sử dụng
BRV003_R002,BRV003,Standard Room,1200000,Trống
BRV003_R003,BRV003,Standard Room,1200000,Trống
BRV003_R004,BRV003,Standard Room,1200000,Trống
BRV003_R005,BRV003,Standard Room,1200000,Trống
BRV003_R006,BRV003,Standard Room,1200000,Đang sử dụng
BRV003_R007,BRV003,Standard Room,1200000,Trống
BRV003_R008,BRV003,Standard Room,1200000,Trống
BRV003_R009,BRV003,Deluxe Room,1800000,Đang dọn
BRV003_R010,BRV003,Deluxe Room,1800000,Đang dọn
BRV003_R011,BRV003,Deluxe Room,1800000,Trống
BRV003_R012,BRV003,Deluxe Room,1800000,Trống
BRV003_R013,BRV003,Deluxe Room,1800000,Trống
BRV003_R014,BRV003,Superior Room,1500000,Đang dọn
BRV003_R015,BRV003,Superior Room,1500000,Đang dọn
BRV003_R016,BRV003,Superior Room,1500000,Đang sử dụng
BRV003_R017,BRV003,Executive Room,2400000,Trống
BRV003_R018,BRV003,Junior Suite,2800000,Trống
BRV003_R019,BRV003,Suite,3500000,Trống
BRV003_R020,BRV003,Family Room,2200000,Trống
BRV003_R021,BRV003,Family Room,2200000,Đang dọn
BRV003_R022,BRV003,Connecting Room,2000000,Trống
BRV003_R023,BRV003,Twin Room,1700000,Đang dọn
BRV003_R024,BRV003,Double Room,1700000,Đang dọn
BRV003_R025,BRV003,Single Room,1000000,Đang sử dụng
BRV003_R026,BRV003,Studio Room,1300000,Đang sử dụng
BRV003_R027,BRV003,Accessible Room,1100000,Trống
BRV004_R001,BRV004,Standard Room,1200000,Trống
BRV004_R002,BRV004,Standard Room,1200000,Đang sử dụng
BRV004_R003,BRV004,Standard Room,1200000,Đang sử dụng
BRV004_R004,BRV004,Standard Room,1200000,Trống
BRV004_R005,BRV004,Standard Room,1200000,Đang dọn
BRV004_R006,BRV004,Standard Room,1200000,Trống
BRV004_R007,BRV004,Standard Room,1200000,Đang dọn
BRV004_R008,BRV004,Standard Room,1200000,Trống
BRV004_R009,BRV004,Standard Room,1200000,Đang dọn
BRV004_R010,BRV004,Standard Room,1200000,Đang dọn
BRV004_R011,BRV004,Standard Room,1200000,Đang dọn
BRV004_R012,BRV004,Deluxe Room,1800000,Đang sử dụng
BRV004_R013,BRV004,Deluxe Room,1800000,Đang dọn
BRV004_R014,BRV004,Deluxe Room,1800000,Trống
BRV004_R015,BRV004,Deluxe Room,1800000,Đang dọn
BRV004_R016,BRV004,Deluxe Room,1800000,Trống
BRV004_R017,BRV004,Deluxe Room,1800000,Đang sử dụng
BRV004_R018,BRV004,Deluxe Room,1800000,Đang dọn
BRV004_R019,BRV004,Superior Room,1500000,Trống
BRV004_R020,BRV004,Superior Room,1500000,Đang dọn
BRV004_R021,BRV004,Superior Room,1500000,Trống
BRV004_R022,BRV004,Superior Room,1500000,Đang sử dụng
BRV004_R023,BRV004,Executive Room,2400000,Trống
BRV004_R024,BRV004,Executive Room,2400000,Đang dọn
BRV004_R025,BRV004,Junior Suite,2800000,Đang sử dụng
BRV004_R026,BRV004,Junior Suite,2800000,Đang sử dụng
BRV004_R027,BRV004,Suite,3500000,Đang sử dụng
BRV004_R028,BRV004,Suite,3500000,Trống
BRV004_R029,BRV004,Family Room,2200000,Đang dọn
BRV004_R030,BRV004,Family Room,2200000,Trống
BRV004_R031,BRV004,Family Room,2200000,Đang sử dụng
BRV004_R032,BRV004,Connecting Room,2000000,Đang dọn
BRV004_R033,BRV004,Connecting Room,2000000,Đang dọn
BRV004_R034,BRV004,Twin Room,1700000,Trống
BRV004_R035,BRV004,Double Room,1700000,Đang dọn
BRV004_R036,BRV004,Double Room,1700000,Trống
BRV004_R037,BRV004,Single Room,1000000,Trống
BRV004_R038,BRV004,Studio Room,1300000,Đang sử dụng
BRV004_R039,BRV004,Accessible Room,1100000,Trống
BGG001_R001,BGG001,Standard Room,1200000,Đang dọn
BGG001_R002,BGG001,Standard Room,1200000,Đang dọn
BGG001_R003,BGG001,Standard Room,1200000,Đang dọn
BGG001_R004,BGG001,Standard Room,1200000,Đang dọn
BGG001_R005,BGG001,Standard Room,1200000,Trống
BGG001_R006,BGG001,Standard Room,1200000,Trống
BGG001_R007,BGG001,Standard Room,1200000,Đang dọn
BGG001_R008,BGG001,Standard Room,1200000,Đang sử dụng
BGG001_R009,BGG001,Standard Room,1200000,Đang dọn
BGG001_R010,BGG001,Standard Room,1200000,Đang sử dụng
BGG001_R011,BGG001,Deluxe Room,1800000,Đang sử dụng
BGG001_R012,BGG001,Deluxe Room,1800000,Trống
BGG001_R013,BGG001,Deluxe Room,1800000,Đang dọn
BGG001_R014,BGG001,Deluxe Room,1800000,Trống
BGG001_R015,BGG001,Deluxe Room,1800000,Đang sử dụng
BGG001_R016,BGG001,Deluxe Room,1800000,Đang dọn
BGG001_R017,BGG001,Deluxe Room,1800000,Đang sử dụng
BGG001_R018,BGG001,Superior Room,1500000,Đang sử dụng
BGG001_R019,BGG001,Superior Room,1500000,Đang dọn
BGG001_R020,BGG001,Superior Room,1500000,Trống
BGG001_R021,BGG001,Superior Room,1500000,Trống
BGG001_R022,BGG001,Executive Room,2400000,Đang dọn
BGG001_R023,BGG001,Executive Room,2400000,Trống
BGG001_R024,BGG001,Junior Suite,2800000,Trống
BGG001_R025,BGG001,Junior Suite,2800000,Đang dọn
BGG001_R026,BGG001,Suite,3500000,Đang sử dụng
BGG001_R027,BGG001,Suite,3500000,Trống
BGG001_R028,BGG001,Family Room,2200000,Đang sử dụng
BGG001_R029,BGG001,Family Room,2200000,Đang sử dụng
BGG001_R030,BGG001,Connecting Room,2000000,Đang sử dụng
BGG001_R031,BGG001,Connecting Room,2000000,Đang dọn
BGG001_R032,BGG001,Twin Room,1700000,Đang sử dụng
BGG001_R033,BGG001,Double Room,1700000,Đang sử dụng
BGG001_R034,BGG001,Double Room,1700000,Trống
BGG001_R035,BGG001,Single Room,1000000,Đang dọn
BGG001_R036,BGG001,Studio Room,1300000,Đang sử dụng
BGG001_R037,BGG001,Accessible Room,1100000,Trống
BGG002_R001,BGG002,Standard Room,1200000,Đang sử dụng
BGG002_R002,BGG002,Standard Room,1200000,Đang dọn
BGG002_R003,BGG002,Standard Room,1200000,Đang sử dụng
BGG002_R004,BGG002,Standard Room,1200000,Đang dọn
BGG002_R005,BGG002,Standard Room,1200000,Đang sử dụng
BGG002_R006,BGG002,Standard Room,1200000,Trống
BGG002_R007,BGG002,Standard Room,1200000,Đang sử dụng
BGG002_R008,BGG002,Standard Room,1200000,Trống
BGG002_R009,BGG002,Standard Room,1200000,Trống
BGG002_R010,BGG002,Standard Room,1200000,Đang dọn
BGG002_R011,BGG002,Deluxe Room,1800000,Đang dọn
BGG002_R012,BGG002,Deluxe Room,1800000,Trống
BGG002_R013,BGG002,Deluxe Room,1800000,Trống
BGG002_R014,BGG002,Deluxe Room,1800000,Trống
BGG002_R015,BGG002,Deluxe Room,1800000,Đang dọn
BGG002_R016,BGG002,Deluxe Room,1800000,Trống
BGG002_R017,BGG002,Deluxe Room,1800000,Trống
BGG002_R018,BGG002,Superior Room,1500000,Đang dọn
BGG002_R019,BGG002,Superior Room,1500000,Trống
BGG002_R020,BGG002,Superior Room,1500000,Đang dọn
BGG002_R021,BGG002,Superior Room,1500000,Trống
BGG002_R022,BGG002,Executive Room,2400000,Đang sử dụng
BGG002_R023,BGG002,Executive Room,2400000,Đang sử dụng
BGG002_R024,BGG002,Junior Suite,2800000,Đang dọn
BGG002_R025,BGG002,Junior Suite,2800000,Đang dọn
BGG002_R026,BGG002,Suite,3500000,Đang dọn
BGG002_R027,BGG002,Suite,3500000,Đang dọn
BGG002_R028,BGG002,Family Room,2200000,Trống
BGG002_R029,BGG002,Family Room,2200000,Đang dọn
BGG002_R030,BGG002,Connecting Room,2000000,Đang dọn
BGG002_R031,BGG002,Connecting Room,2000000,Đang dọn
BGG002_R032,BGG002,Twin Room,1700000,Đang dọn
BGG002_R033,BGG002,Double Room,1700000,Đang dọn
BGG002_R034,BGG002,Double Room,1700000,Đang sử dụng
BGG002_R035,BGG002,Single Room,1000000,Đang sử dụng
BGG002_R036,BGG002,Studio Room,1300000,Đang sử dụng
BGG002_R037,BGG002,Accessible Room,1100000,Đang sử dụng
BGG003_R001,BGG003,Standard Room,1200000,Đang sử dụng
BGG003_R002,BGG003,Standard Room,1200000,Đang dọn
BGG003_R003,BGG003,Standard Room,1200000,Đang sử dụng
BGG003_R004,BGG003,Standard Room,1200000,Đang sử dụng
BGG003_R005,BGG003,Standard Room,1200000,Trống
BGG003_R006,BGG003,Standard Room,1200000,Trống
BGG003_R007,BGG003,Standard Room,1200000,Đang dọn
BGG003_R008,BGG003,Standard Room,1200000,Đang dọn
BGG003_R009,BGG003,Standard Room,1200000,Trống
BGG003_R010,BGG003,Standard Room,1200000,Trống
BGG003_R011,BGG003,Deluxe Room,1800000,Đang dọn
BGG003_R012,BGG003,Deluxe Room,1800000,Đang sử dụng
BGG003_R013,BGG003,Deluxe Room,1800000,Đang sử dụng
BGG003_R014,BGG003,Deluxe Room,1800000,Đang sử dụng
BGG003_R015,BGG003,Deluxe Room,1800000,Đang dọn
BGG003_R016,BGG003,Deluxe Room,1800000,Đang dọn
BGG003_R017,BGG003,Deluxe Room,1800000,Đang dọn
BGG003_R018,BGG003,Superior Room,1500000,Trống
BGG003_R019,BGG003,Superior Room,1500000,Đang sử dụng
BGG003_R020,BGG003,Superior Room,1500000,Trống
BGG003_R021,BGG003,Superior Room,1500000,Trống
BGG003_R022,BGG003,Executive Room,2400000,Đang dọn
BGG003_R023,BGG003,Executive Room,2400000,Đang sử dụng
BGG003_R024,BGG003,Junior Suite,2800000,Đang dọn
BGG003_R025,BGG003,Junior Suite,2800000,Đang sử dụng
BGG003_R026,BGG003,Suite,3500000,Đang dọn
BGG003_R027,BGG003,Suite,3500000,Trống
BGG003_R028,BGG003,Family Room,2200000,Trống
BGG003_R029,BGG003,Family Room,2200000,Đang dọn
BGG003_R030,BGG003,Connecting Room,2000000,Trống
BGG003_R031,BGG003,Connecting Room,2000000,Đang dọn
BGG003_R032,BGG003,Twin Room,1700000,Trống
BGG003_R033,BGG003,Double Room,1700000,Trống
BGG003_R034,BGG003,Double Room,1700000,Trống
BGG003_R035,BGG003,Single Room,1000000,Trống
BGG003_R036,BGG003,Studio Room,1300000,Đang dọn
BGG003_R037,BGG003,Accessible Room,1100000,Đang sử dụng
BKN001_R001,BKN001,Standard Room,1200000,Đang sử dụng
BKN001_R002,BKN001,Standard Room,1200000,Đang sử dụng
BKN001_R003,BKN001,Standard Room,1200000,Đang dọn
BKN001_R004,BKN001,Standard Room,1200000,Trống
BKN001_R005,BKN001,Standard Room,1200000,Đang dọn
BKN001_R006,BKN001,Standard Room,1200000,Trống
BKN001_R007,BKN001,Standard Room,1200000,Đang sử dụng
BKN001_R008,BKN001,Deluxe Room,1800000,Đang dọn
BKN001_R009,BKN001,Deluxe Room,1800000,Đang sử dụng
BKN001_R010,BKN001,Deluxe Room,1800000,Trống
BKN001_R011,BKN001,Deluxe Room,1800000,Đang sử dụng
BKN001_R012,BKN001,Deluxe Room,1800000,Đang sử dụng
BKN001_R013,BKN001,Superior Room,1500000,Trống
BKN001_R014,BKN001,Superior Room,1500000,Trống
BKN001_R015,BKN001,Superior Room,1500000,Đang sử dụng
BKN001_R016,BKN001,Executive Room,2400000,Đang dọn
BKN001_R017,BKN001,Junior Suite,2800000,Đang dọn
BKN001_R018,BKN001,Suite,3500000,Đang dọn
BKN001_R019,BKN001,Family Room,2200000,Đang dọn
BKN001_R020,BKN001,Family Room,2200000,Trống
BKN001_R021,BKN001,Connecting Room,2000000,Đang sử dụng
BKN001_R022,BKN001,Twin Room,1700000,Trống
BKN001_R023,BKN001,Double Room,1700000,Đang dọn
BLU001_R001,BLU001,Standard Room,1200000,Đang dọn
BLU001_R002,BLU001,Standard Room,1200000,Đang sử dụng
BLU001_R003,BLU001,Standard Room,1200000,Đang dọn
BLU001_R004,BLU001,Standard Room,1200000,Đang dọn
BLU001_R005,BLU001,Standard Room,1200000,Đang dọn
BLU001_R006,BLU001,Deluxe Room,1800000,Đang sử dụng
BLU001_R007,BLU001,Deluxe Room,1800000,Đang dọn
BLU001_R008,BLU001,Deluxe Room,1800000,Đang sử dụng
BLU001_R009,BLU001,Superior Room,1500000,Đang sử dụng
BLU001_R010,BLU001,Superior Room,1500000,Đang dọn
BLU001_R011,BLU001,Executive Room,2400000,Đang dọn
BLU001_R012,BLU001,Junior Suite,2800000,Đang dọn
BLU001_R013,BLU001,Suite,3500000,Đang dọn
BLU001_R014,BLU001,Family Room,2200000,Trống
BLU001_R015,BLU001,Connecting Room,2000000,Đang dọn
BLU001_R016,BLU001,Twin Room,1700000,Đang sử dụng
BLU001_R017,BLU001,Double Room,1700000,Trống
BLU002_R001,BLU002,Standard Room,1200000,Đang dọn
BLU002_R002,BLU002,Standard Room,1200000,Đang dọn
BLU002_R003,BLU002,Standard Room,1200000,Đang dọn
BLU002_R004,BLU002,Standard Room,1200000,Đang sử dụng
BLU002_R005,BLU002,Deluxe Room,1800000,Trống
BLU002_R006,BLU002,Deluxe Room,1800000,Đang sử dụng
BLU002_R007,BLU002,Deluxe Room,1800000,Đang sử dụng
BLU002_R008,BLU002,Superior Room,1500000,Trống
BLU002_R009,BLU002,Superior Room,1500000,Đang sử dụng
BLU002_R010,BLU002,Executive Room,2400000,Trống
BLU002_R011,BLU002,Junior Suite,2800000,Đang dọn
BLU002_R012,BLU002,Suite,3500000,Đang sử dụng
BLU002_R013,BLU002,Family Room,2200000,Đang dọn
BLU002_R014,BLU002,Connecting Room,2000000,Đang sử dụng
BLU002_R015,BLU002,Twin Room,1700000,Đang dọn
BLU002_R016,BLU002,Double Room,1700000,Đang dọn
BNH001_R001,BNH001,Standard Room,1200000,Đang sử dụng
BNH001_R002,BNH001,Standard Room,1200000,Đang dọn
BNH001_R003,BNH001,Standard Room,1200000,Trống
BNH001_R004,BNH001,Standard Room,1200000,Đang sử dụng
BNH001_R005,BNH001,Standard Room,1200000,Đang sử dụng
BNH001_R006,BNH001,Standard Room,1200000,Trống
BNH001_R007,BNH001,Standard Room,1200000,Trống
BNH001_R008,BNH001,Standard Room,1200000,Đang dọn
BNH001_R009,BNH001,Deluxe Room,1800000,Đang dọn
BNH001_R010,BNH001,Deluxe Room,1800000,Đang dọn
BNH001_R011,BNH001,Deluxe Room,1800000,Đang sử dụng
BNH001_R012,BNH001,Deluxe Room,1800000,Trống
BNH001_R013,BNH001,Deluxe Room,1800000,Đang sử dụng
BNH001_R014,BNH001,Superior Room,1500000,Đang sử dụng
BNH001_R015,BNH001,Superior Room,1500000,Đang dọn
BNH001_R016,BNH001,Superior Room,1500000,Đang dọn
BNH001_R017,BNH001,Executive Room,2400000,Đang sử dụng
BNH001_R018,BNH001,Junior Suite,2800000,Trống
BNH001_R019,BNH001,Suite,3500000,Đang sử dụng
BNH001_R020,BNH001,Family Room,2200000,Đang dọn
BNH001_R021,BNH001,Family Room,2200000,Đang sử dụng
BNH001_R022,BNH001,Connecting Room,2000000,Đang dọn
BNH001_R023,BNH001,Twin Room,1700000,Đang sử dụng
BNH001_R024,BNH001,Double Room,1700000,Trống
BNH001_R025,BNH001,Single Room,1000000,Trống
BNH001_R026,BNH001,Studio Room,1300000,Trống
BNH001_R027,BNH001,Accessible Room,1100000,Trống
BNH002_R001,BNH002,Standard Room,1200000,Đang dọn
BNH002_R002,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R003,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R004,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R005,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R006,BNH002,Standard Room,1200000,Đang dọn
BNH002_R007,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R008,BNH002,Standard Room,1200000,Đang sử dụng
BNH002_R009,BNH002,Standard Room,1200000,Trống
